Logical_quotient_rating,i_get_stressed_out_easily,coding_skills_rating,public_speaking_points,i_am_always_prepared,i_follow_a_schedule,i_am_quick_to_understand_things,i_am_full_of_ideas,i_start_conversations,do_you_like_sports,entrepreneurial_mindset,tendency_to_worry,self_learning_capability,Extra_courses_did,Taken_inputs_from_seniors_or_elders,reading_and _writing_skills,memory_capability_score,interested_career_area ,Type_of_company_want_to_settle_in,Interested_Type_of_Books,Non_Technical_or_Technical,hard_smart_worker,worked_in_teams_ever,Introvert,Suggested_Job_Role
2,4,0,7,8,0,3,3,6,no,no,no,no,yes,yes,poor,poor,system developer,Sales and Marketing,Romance,Non Technical,hard worker,yes,no,Network Security Engineer
0,8,2,1,7,5,6,1,0,yes,yes,yes,yes,yes,yes,poor,excellent,testing,Finance,Drama,Technical,hard worker,yes,no,Network Security Engineer
3,4,5,4,3,3,8,0,8,no,no,no,yes,no,yes,poor,poor,system developer,Finance,Math,Technical,smart worker,yes,no,Network Security Engineer
8,2,0,1,3,0,3,8,6,yes,yes,yes,no,no,yes,medium,excellent,testing,Testing and Maintainance Services,Trilogy,Technical,smart worker,no,no,Network Security Engineer
6,1,2,5,9,3,7,7,3,yes,yes,no,no,no,yes,poor,poor,security,Cloud Services,Horror,Technical,smart worker,yes,yes,Network Security Engineer
5,6,7,1,7,1,4,2,1,no,no,no,no,yes,no,poor,excellent,security,SAaS services,Science fiction,Technical,smart worker,yes,no,Network Security Engineer
9,2,4,8,0,5,8,4,8,no,no,no,yes,no,no,poor,medium,testing,Cloud Services,Self help,Technical,smart worker,no,no,Network Security Engineer
7,5,2,1,0,2,0,0,0,yes,yes,no,yes,no,yes,poor,poor,Business process analyst,Finance,Prayer books,Technical,hard worker,yes,yes,Network Security Engineer
2,2,2,4,4,8,0,4,4,no,no,yes,yes,yes,yes,excellent,excellent,system developer,product development,Autobiographies,Technical,hard worker,yes,yes,Network Security Engineer
3,8,4,9,8,9,9,3,0,no,yes,no,yes,yes,yes,excellent,poor,Business process analyst,Product based,Cookbooks,Technical,smart worker,yes,yes,Network Security Engineer
1,5,0,3,2,8,4,0,3,yes,no,yes,no,yes,yes,excellent,poor,system developer,Testing and Maintainance Services,History,Technical,smart worker,yes,no,Network Security Engineer
8,0,6,6,3,2,7,4,4,yes,yes,no,no,yes,yes,excellent,excellent,testing,SAaS services,Action and Adventure,Technical,smart worker,no,no,Network Security Engineer
9,4,7,2,7,9,6,7,8,no,yes,no,yes,no,yes,medium,excellent,system developer,Product based,Health,Non Technical,smart worker,yes,yes,Network Security Engineer
3,0,3,8,1,2,0,7,5,no,no,yes,no,no,yes,excellent,excellent,system developer,Cloud Services,Art,Technical,hard worker,yes,yes,Network Security Engineer
3,0,3,6,5,8,8,6,4,yes,yes,yes,no,yes,yes,poor,excellent,cloud computing,Testing and Maintainance Services,Fantasy,Technical,hard worker,yes,no,Network Security Engineer
3,0,0,7,5,5,0,5,7,no,no,no,yes,no,yes,medium,medium,cloud computing,Finance,Diaries,Technical,hard worker,yes,yes,Network Security Engineer
2,6,5,1,2,4,2,4,4,yes,yes,yes,no,no,yes,poor,poor,system developer,SAaS services,Cookbooks,Technical,hard worker,no,no,Network Security Engineer
2,6,5,2,7,4,9,6,0,no,no,no,no,yes,yes,poor,medium,security,BPA,Cookbooks,Technical,smart worker,yes,no,Network Security Engineer
9,1,9,0,4,2,4,9,5,no,yes,no,yes,no,no,medium,poor,developer,product development,Science fiction,Non Technical,smart worker,no,yes,Network Security Engineer
3,2,1,5,8,0,6,7,5,no,no,no,no,yes,no,excellent,excellent,system developer,Finance,Math,Technical,hard worker,no,no,Network Security Engineer
1,6,4,6,4,6,0,9,0,yes,no,yes,yes,yes,no,excellent,poor,cloud computing,Service Based,Guide,Technical,hard worker,no,yes,Network Security Engineer
0,4,2,9,9,6,8,0,5,yes,no,no,no,yes,yes,medium,poor,Business process analyst,Service Based,Self help,Non Technical,hard worker,yes,yes,Network Security Engineer
6,8,7,3,8,2,6,8,0,no,no,yes,no,yes,yes,poor,poor,security,Testing and Maintainance Services,Guide,Technical,smart worker,no,no,Network Security Engineer
8,1,2,5,4,8,0,5,0,yes,yes,no,no,no,no,medium,poor,testing,product development,Horror,Technical,hard worker,no,yes,Network Security Engineer
3,3,1,9,9,5,7,3,1,no,yes,yes,yes,no,yes,excellent,poor,developer,Product based,Diaries,Non Technical,hard worker,yes,yes,Network Security Engineer
0,9,7,2,6,2,9,5,6,yes,no,no,yes,no,yes,medium,poor,system developer,Product based,Encyclopedias,Technical,smart worker,no,yes,Network Security Engineer
0,5,6,3,6,3,9,3,0,no,yes,yes,yes,no,no,poor,poor,testing,Service Based,Science fiction,Technical,hard worker,no,no,Network Security Engineer
5,6,6,7,7,5,8,2,3,no,yes,yes,yes,yes,no,excellent,medium,system developer,Cloud Services,Horror,Non Technical,smart worker,yes,no,Network Security Engineer
0,1,1,1,0,2,6,4,2,no,no,yes,yes,yes,yes,medium,medium,developer,Product based,Prayer books,Non Technical,smart worker,yes,no,Network Security Engineer
4,8,1,4,5,8,7,0,8,no,no,no,no,yes,yes,medium,medium,Business process analyst,product development,Autobiographies,Technical,hard worker,yes,no,Network Security Engineer
6,2,3,5,8,9,1,1,4,yes,yes,no,yes,no,no,excellent,medium,security,Service Based,Horror,Non Technical,smart worker,yes,no,Network Security Engineer
2,4,8,3,0,1,6,2,9,yes,no,yes,yes,no,yes,poor,poor,Business process analyst,Finance,Science fiction,Non Technical,hard worker,yes,no,Network Security Engineer
3,5,0,4,9,1,8,2,5,no,yes,no,yes,yes,yes,poor,poor,system developer,Product based,Dictionaries,Non Technical,hard worker,yes,no,Network Security Engineer
1,8,6,7,8,5,0,1,1,no,yes,yes,yes,yes,no,medium,poor,testing,product development,Science fiction,Technical,hard worker,no,no,Network Security Engineer
9,6,5,3,2,6,1,9,3,no,no,yes,yes,no,yes,medium,poor,Business process analyst,product development,Action and Adventure,Technical,smart worker,yes,no,Network Security Engineer
1,0,4,4,5,9,2,7,2,yes,no,no,no,no,no,excellent,poor,developer,Testing and Maintainance Services,Satire,Technical,hard worker,yes,no,Network Security Engineer
3,6,5,1,1,5,9,8,5,no,yes,no,yes,no,no,excellent,poor,developer,Product based,Horror,Non Technical,smart worker,no,yes,Network Security Engineer
0,5,3,0,4,1,5,5,8,yes,yes,no,no,no,no,excellent,medium,developer,Product based,Self help,Technical,hard worker,yes,yes,Network Security Engineer
7,8,8,4,2,4,6,7,0,yes,yes,yes,yes,yes,yes,excellent,poor,developer,Product based,Encyclopedias,Non Technical,hard worker,yes,yes,Network Security Engineer
8,1,8,4,5,9,2,8,2,yes,yes,no,yes,yes,yes,medium,excellent,Business process analyst,SAaS services,Guide,Technical,hard worker,no,no,Network Security Engineer
4,8,0,7,8,2,9,1,4,no,yes,no,yes,no,no,medium,excellent,system developer,Product based,Trilogy,Technical,hard worker,yes,no,Network Security Engineer
4,9,4,1,9,1,9,7,1,no,yes,no,yes,no,no,excellent,medium,cloud computing,product development,Travel,Technical,hard worker,yes,no,Network Security Engineer
5,7,2,2,9,4,0,4,3,yes,no,no,yes,no,no,medium,excellent,cloud computing,SAaS services,Series,Technical,hard worker,yes,yes,Network Security Engineer
1,0,7,3,6,8,0,1,7,no,yes,yes,yes,yes,no,poor,medium,testing,product development,Journals,Technical,hard worker,yes,yes,Network Security Engineer
5,0,6,1,9,3,8,4,8,yes,yes,no,yes,no,no,poor,poor,developer,SAaS services,Journals,Technical,hard worker,yes,no,Network Security Engineer
2,7,3,8,3,5,2,6,0,no,no,yes,yes,yes,yes,medium,poor,cloud computing,Web Services,Poetry,Non Technical,smart worker,yes,no,Network Security Engineer
0,2,8,5,3,9,8,7,9,no,no,yes,no,no,no,poor,medium,developer,Testing and Maintainance Services,Anthology,Non Technical,smart worker,no,no,Network Security Engineer
2,6,0,9,2,9,3,5,1,yes,yes,yes,no,yes,yes,excellent,poor,developer,Service Based,Horror,Non Technical,hard worker,yes,yes,Network Security Engineer
1,4,8,1,4,4,6,8,8,no,yes,yes,no,yes,yes,excellent,poor,developer,Sales and Marketing,Guide,Technical,hard worker,yes,no,Network Security Engineer
2,5,5,2,1,5,5,9,0,no,no,yes,no,no,no,poor,poor,security,Web Services,Health,Technical,smart worker,no,no,Network Security Engineer
7,0,4,5,3,6,4,6,1,no,no,yes,no,yes,no,medium,excellent,system developer,Service Based,Health,Non Technical,smart worker,yes,yes,Network Security Engineer
8,2,6,3,1,3,6,7,1,yes,yes,no,yes,yes,no,poor,poor,system developer,product development,Journals,Non Technical,smart worker,yes,yes,Network Security Engineer
1,9,0,0,0,9,2,4,6,yes,yes,no,yes,no,no,medium,excellent,developer,Sales and Marketing,Art,Non Technical,hard worker,no,no,Network Security Engineer
8,0,1,0,8,7,3,1,5,no,no,no,no,no,yes,poor,excellent,system developer,Web Services,Journals,Non Technical,smart worker,yes,no,Network Security Engineer
5,6,8,0,6,7,2,7,1,yes,no,yes,no,no,yes,medium,medium,system developer,BPA,Health,Non Technical,smart worker,yes,no,Network Security Engineer
8,3,6,5,7,7,8,4,7,yes,yes,yes,yes,no,no,excellent,medium,cloud computing,Finance,Art,Technical,smart worker,yes,yes,Network Security Engineer
5,2,1,8,2,6,6,2,5,yes,no,yes,yes,no,yes,medium,poor,cloud computing,product development,Self help,Non Technical,smart worker,no,no,Network Security Engineer
1,4,0,7,0,3,2,0,4,no,no,no,no,yes,no,excellent,medium,Business process analyst,Service Based,Satire,Non Technical,smart worker,yes,yes,Network Security Engineer
2,3,2,5,7,3,0,8,7,no,no,yes,yes,yes,no,medium,medium,system developer,Product based,Science,Technical,smart worker,yes,no,Network Security Engineer
4,0,4,1,8,9,9,9,0,yes,yes,no,yes,no,yes,excellent,excellent,cloud computing,Service Based,Prayer books,Non Technical,smart worker,no,no,Network Security Engineer
8,4,5,3,6,9,0,4,2,yes,no,yes,yes,no,yes,medium,medium,security,SAaS services,Poetry,Non Technical,smart worker,yes,yes,Network Security Engineer
4,2,2,0,8,6,2,7,2,no,yes,yes,no,yes,yes,poor,medium,developer,Finance,Fantasy,Non Technical,smart worker,yes,yes,Network Security Engineer
1,9,8,7,6,6,4,3,4,yes,no,yes,no,no,no,excellent,poor,Business process analyst,Testing and Maintainance Services,Self help,Technical,hard worker,no,yes,Network Security Engineer
3,7,9,4,5,0,2,9,9,no,no,yes,yes,no,no,poor,excellent,testing,BPA,Health,Technical,smart worker,no,yes,Network Security Engineer
9,6,8,8,6,9,1,7,5,yes,no,yes,no,yes,yes,poor,excellent,testing,Testing and Maintainance Services,Dictionaries,Technical,smart worker,yes,yes,Network Security Engineer
0,7,7,2,0,9,4,9,2,yes,yes,yes,yes,yes,no,poor,medium,security,BPA,Cookbooks,Technical,smart worker,no,yes,Network Security Engineer
5,4,8,6,3,5,0,8,6,no,no,no,no,no,no,medium,medium,security,Web Services,Guide,Non Technical,hard worker,no,no,Network Security Engineer
5,9,5,7,3,3,1,5,2,yes,yes,no,yes,yes,no,medium,poor,testing,Finance,Encyclopedias,Technical,smart worker,no,no,Network Security Engineer
5,8,4,0,1,7,4,4,2,no,no,no,no,no,yes,poor,poor,cloud computing,Web Services,Dictionaries,Non Technical,hard worker,no,no,Network Security Engineer
7,6,0,9,7,3,8,9,3,no,no,no,no,no,no,medium,medium,security,Cloud Services,Autobiographies,Non Technical,hard worker,yes,no,Network Security Engineer
4,8,3,2,7,0,1,0,1,yes,yes,no,yes,no,no,medium,poor,cloud computing,Testing and Maintainance Services,Horror,Technical,hard worker,yes,yes,Network Security Engineer
1,0,2,6,7,1,3,0,1,yes,no,no,yes,no,yes,excellent,poor,security,SAaS services,Self help,Non Technical,smart worker,yes,yes,Network Security Engineer
0,8,7,5,1,9,2,5,7,no,no,yes,yes,yes,yes,poor,medium,developer,Service Based,Trilogy,Technical,hard worker,yes,no,Network Security Engineer
3,0,1,3,4,7,5,9,4,no,yes,yes,yes,yes,no,excellent,medium,developer,Product based,Travel,Non Technical,hard worker,yes,yes,Network Security Engineer
6,8,8,5,3,8,1,5,1,yes,no,no,yes,yes,no,excellent,medium,cloud computing,product development,Action and Adventure,Technical,smart worker,yes,yes,Network Security Engineer
4,9,5,2,0,2,7,3,3,yes,yes,no,no,yes,no,poor,excellent,system developer,Service Based,Action and Adventure,Technical,hard worker,no,yes,Network Security Engineer
3,5,1,1,9,3,8,1,5,no,no,no,no,yes,yes,medium,medium,developer,Service Based,History,Non Technical,hard worker,no,no,Network Security Engineer
5,9,7,1,0,7,2,3,3,yes,no,yes,no,yes,no,excellent,excellent,testing,Cloud Services,Art,Technical,smart worker,no,yes,Network Security Engineer
7,1,1,8,6,9,5,0,1,yes,yes,no,no,no,yes,excellent,excellent,testing,Testing and Maintainance Services,Dictionaries,Non Technical,hard worker,yes,no,Network Security Engineer
0,9,2,1,4,2,6,2,1,yes,yes,no,no,yes,no,poor,poor,cloud computing,Sales and Marketing,History,Technical,hard worker,yes,yes,Network Security Engineer
5,3,0,0,8,0,4,0,8,yes,no,no,no,no,no,excellent,medium,Business process analyst,Testing and Maintainance Services,Anthology,Technical,hard worker,no,no,Network Security Engineer
1,2,5,5,1,8,7,1,7,no,no,no,yes,yes,no,excellent,poor,testing,Finance,Drama,Non Technical,smart worker,yes,yes,Network Security Engineer
4,9,5,9,6,4,5,3,3,yes,yes,no,no,yes,yes,medium,excellent,cloud computing,Web Services,Satire,Non Technical,hard worker,yes,no,Network Security Engineer
0,5,4,7,9,4,4,0,7,yes,yes,yes,yes,yes,no,excellent,medium,testing,product development,Health,Technical,smart worker,no,yes,Network Security Engineer
4,3,1,0,1,6,6,8,2,no,no,yes,no,yes,yes,excellent,medium,testing,SAaS services,Health,Non Technical,smart worker,yes,no,Network Security Engineer
8,2,7,8,5,2,1,3,6,no,no,no,yes,no,no,poor,poor,cloud computing,Cloud Services,Comics,Non Technical,hard worker,yes,no,Network Security Engineer
1,2,5,4,6,9,0,9,9,no,no,no,no,yes,yes,excellent,medium,system developer,Sales and Marketing,Trilogy,Technical,smart worker,yes,no,Network Security Engineer
8,3,5,4,1,6,0,0,3,yes,yes,no,no,no,yes,medium,medium,cloud computing,SAaS services,Autobiographies,Non Technical,smart worker,no,no,Network Security Engineer
3,2,0,3,4,9,3,1,2,no,no,yes,yes,yes,yes,medium,excellent,testing,BPA,Anthology,Technical,smart worker,yes,yes,Network Security Engineer
9,2,1,3,5,0,0,8,7,yes,no,yes,no,no,no,poor,medium,developer,Cloud Services,Encyclopedias,Non Technical,smart worker,yes,no,Network Security Engineer
6,1,9,1,8,7,4,1,0,yes,no,yes,no,no,no,excellent,medium,cloud computing,product development,Series,Non Technical,hard worker,yes,yes,Network Security Engineer
6,2,8,3,0,6,9,9,5,no,yes,yes,yes,no,no,medium,medium,system developer,SAaS services,Science fiction,Technical,smart worker,no,yes,Network Security Engineer
5,6,7,5,5,4,0,8,9,no,no,no,no,yes,no,medium,excellent,cloud computing,Cloud Services,Autobiographies,Non Technical,smart worker,no,yes,Network Security Engineer
9,5,3,3,9,8,6,2,1,yes,no,yes,no,yes,yes,medium,poor,Business process analyst,SAaS services,Comics,Technical,hard worker,yes,yes,Network Security Engineer
7,2,3,1,8,7,1,8,7,no,yes,yes,no,no,yes,poor,medium,security,Web Services,Romance,Non Technical,hard worker,no,no,Network Security Engineer
4,8,7,4,1,2,5,7,0,yes,no,no,no,yes,yes,excellent,excellent,security,Service Based,Satire,Technical,smart worker,no,yes,Network Security Engineer
1,2,7,2,3,6,3,8,1,no,no,no,yes,yes,no,medium,poor,security,product development,Math,Non Technical,smart worker,no,yes,Network Security Engineer
8,8,5,7,7,8,5,6,4,no,no,no,no,yes,yes,poor,poor,testing,Finance,Religion-Spirituality,Non Technical,smart worker,no,no,Network Security Engineer
0,3,8,6,5,0,3,4,0,yes,no,no,no,yes,yes,medium,medium,security,BPA,Health,Technical,smart worker,no,no,Network Security Engineer
8,0,5,4,8,6,2,9,2,no,no,yes,no,yes,yes,excellent,excellent,developer,product development,Satire,Technical,smart worker,no,yes,Network Security Engineer
6,6,9,7,8,3,5,0,1,yes,no,no,no,no,no,poor,poor,Business process analyst,Testing and Maintainance Services,History,Non Technical,smart worker,yes,yes,Network Security Engineer
2,6,4,2,0,5,6,6,2,no,yes,no,no,yes,yes,poor,poor,developer,Service Based,Dictionaries,Technical,hard worker,yes,no,Network Security Engineer
3,2,3,3,6,4,2,5,1,no,no,yes,yes,no,yes,medium,excellent,developer,Finance,Horror,Non Technical,hard worker,yes,yes,Network Security Engineer
7,8,0,5,9,0,0,4,2,no,no,yes,no,yes,yes,excellent,medium,system developer,Web Services,Childrens,Technical,smart worker,yes,yes,Network Security Engineer
0,2,7,0,6,9,1,9,4,yes,yes,yes,no,yes,no,poor,medium,cloud computing,Product based,Health,Technical,smart worker,yes,yes,Network Security Engineer
6,3,7,5,6,4,0,1,8,no,no,yes,yes,no,yes,excellent,poor,cloud computing,Service Based,Science,Technical,smart worker,no,yes,Network Security Engineer
9,3,2,6,5,5,5,5,3,no,yes,no,no,no,no,medium,poor,testing,Web Services,Biographies,Non Technical,smart worker,no,no,Network Security Engineer
6,2,5,0,6,7,7,5,4,no,no,yes,yes,yes,yes,poor,excellent,Business process analyst,SAaS services,Anthology,Technical,smart worker,no,yes,Network Security Engineer
7,5,2,7,0,1,7,3,6,yes,yes,yes,yes,no,yes,excellent,medium,system developer,SAaS services,Poetry,Technical,hard worker,yes,yes,Network Security Engineer
6,4,4,7,5,1,4,3,9,yes,no,yes,yes,yes,no,medium,medium,system developer,SAaS services,Journals,Technical,smart worker,yes,no,Network Security Engineer
3,4,4,9,6,6,6,2,3,yes,no,no,yes,no,yes,medium,medium,developer,Testing and Maintainance Services,Fantasy,Technical,smart worker,no,yes,Network Security Engineer
9,1,5,8,3,4,3,2,0,yes,no,yes,no,no,no,medium,medium,cloud computing,SAaS services,Autobiographies,Technical,hard worker,no,yes,Network Security Engineer
1,0,6,6,6,1,9,9,7,yes,yes,no,yes,yes,no,poor,poor,developer,BPA,Encyclopedias,Technical,smart worker,no,yes,Network Security Engineer
1,2,6,2,3,5,4,3,2,no,no,no,yes,no,yes,excellent,poor,system developer,Sales and Marketing,Math,Non Technical,hard worker,yes,yes,Network Security Engineer
7,4,7,8,0,2,2,7,7,no,yes,yes,yes,yes,no,excellent,medium,security,Service Based,Math,Non Technical,hard worker,no,yes,Network Security Engineer
5,9,4,3,2,1,4,8,3,no,yes,no,yes,no,yes,excellent,poor,cloud computing,Cloud Services,Journals,Non Technical,hard worker,yes,no,Network Security Engineer
8,6,2,4,9,4,8,5,8,yes,yes,no,yes,no,yes,excellent,medium,cloud computing,Sales and Marketing,Series,Technical,hard worker,no,yes,Network Security Engineer
9,4,9,9,7,5,4,9,3,yes,yes,no,yes,no,no,poor,excellent,developer,Testing and Maintainance Services,Guide,Technical,smart worker,yes,no,Network Security Engineer
4,3,6,5,8,1,2,6,4,no,yes,no,no,no,yes,excellent,excellent,developer,Service Based,Diaries,Non Technical,hard worker,yes,no,Network Security Engineer
4,6,2,7,2,5,6,3,5,no,no,no,yes,no,no,medium,medium,security,product development,Anthology,Technical,smart worker,no,yes,Network Security Engineer
3,0,4,2,2,1,6,5,2,no,no,no,yes,yes,no,excellent,poor,system developer,SAaS services,Drama,Technical,smart worker,yes,no,Network Security Engineer
9,7,4,7,0,7,6,5,1,yes,yes,no,yes,yes,yes,poor,medium,developer,BPA,Cookbooks,Technical,hard worker,no,no,Network Security Engineer
0,8,2,8,0,9,8,3,1,yes,no,no,no,yes,yes,excellent,excellent,security,Web Services,Fantasy,Non Technical,hard worker,no,no,Network Security Engineer
7,5,3,7,4,9,7,6,5,yes,no,yes,yes,yes,yes,excellent,medium,cloud computing,Testing and Maintainance Services,Health,Technical,smart worker,yes,no,Network Security Engineer
1,8,0,0,0,2,6,3,8,yes,no,no,no,no,yes,poor,excellent,Business process analyst,Service Based,Action and Adventure,Non Technical,hard worker,yes,yes,Network Security Engineer
9,8,5,9,0,4,7,8,9,no,yes,no,no,no,no,excellent,excellent,cloud computing,BPA,Cookbooks,Non Technical,smart worker,yes,no,Network Security Engineer
0,6,4,3,9,7,9,3,5,no,no,yes,yes,yes,no,poor,poor,system developer,Sales and Marketing,Science fiction,Technical,smart worker,no,no,Network Security Engineer
0,5,4,3,8,2,2,0,4,no,yes,yes,yes,no,no,medium,medium,testing,Service Based,Mystery,Non Technical,hard worker,yes,yes,Network Security Engineer
4,1,3,0,3,9,4,3,2,no,no,no,yes,no,no,excellent,medium,cloud computing,Web Services,Art,Technical,smart worker,no,yes,Network Security Engineer
6,4,8,7,9,8,1,1,0,no,no,no,no,no,yes,medium,excellent,Business process analyst,Testing and Maintainance Services,Travel,Technical,smart worker,no,no,Network Security Engineer
4,7,1,2,0,6,1,1,2,yes,no,yes,no,yes,no,poor,excellent,cloud computing,Product based,Cookbooks,Non Technical,smart worker,no,no,Network Security Engineer
3,2,1,4,8,5,4,4,9,no,no,no,yes,no,no,medium,poor,testing,Product based,Journals,Non Technical,hard worker,no,no,Network Security Engineer
4,6,5,7,4,9,9,4,3,yes,yes,yes,no,yes,no,excellent,excellent,testing,Testing and Maintainance Services,Prayer books,Non Technical,hard worker,no,yes,Network Security Engineer
9,3,7,5,4,8,4,6,1,yes,yes,no,no,yes,no,medium,excellent,system developer,Finance,Prayer books,Technical,smart worker,yes,yes,Network Security Engineer
3,9,8,8,9,2,6,2,7,yes,no,yes,yes,yes,no,poor,poor,system developer,Finance,Religion-Spirituality,Technical,smart worker,yes,no,Network Security Engineer
1,2,2,6,5,2,9,2,7,no,no,no,yes,no,no,medium,poor,system developer,Service Based,Guide,Technical,hard worker,yes,yes,Network Security Engineer
7,8,5,9,8,0,4,1,9,yes,yes,no,yes,yes,yes,poor,excellent,developer,SAaS services,Guide,Technical,hard worker,no,yes,Network Security Engineer
8,5,5,5,1,9,5,0,8,no,no,no,no,no,no,poor,poor,security,Web Services,Guide,Technical,hard worker,yes,no,Network Security Engineer
5,6,7,6,2,1,5,2,0,yes,no,yes,no,no,yes,medium,excellent,security,BPA,Travel,Non Technical,smart worker,no,yes,Network Security Engineer
7,1,6,3,8,2,9,3,4,yes,yes,yes,no,no,yes,excellent,medium,Business process analyst,Finance,Series,Technical,smart worker,no,yes,Network Security Engineer
3,9,2,4,6,6,2,6,7,yes,no,no,yes,yes,no,excellent,medium,Business process analyst,Sales and Marketing,Satire,Non Technical,smart worker,yes,no,Network Security Engineer
6,9,7,9,0,5,0,5,6,yes,no,no,yes,no,yes,poor,excellent,Business process analyst,SAaS services,Dictionaries,Technical,hard worker,yes,no,Network Security Engineer
5,3,3,7,9,5,1,3,3,yes,yes,no,no,no,no,poor,medium,cloud computing,Web Services,Guide,Technical,hard worker,no,yes,Network Security Engineer
4,2,4,1,5,1,0,2,7,no,no,no,no,yes,yes,medium,medium,cloud computing,product development,Religion-Spirituality,Non Technical,hard worker,yes,yes,Network Security Engineer
5,8,8,8,6,5,9,1,0,yes,yes,yes,yes,yes,yes,medium,excellent,testing,product development,Action and Adventure,Non Technical,hard worker,no,yes,Network Security Engineer
4,6,3,1,8,7,6,8,2,yes,no,no,yes,no,yes,poor,poor,Business process analyst,Service Based,Encyclopedias,Technical,hard worker,yes,no,Network Security Engineer
3,6,2,5,9,2,0,3,0,no,no,no,no,yes,yes,medium,excellent,testing,Cloud Services,Anthology,Technical,hard worker,no,yes,Network Security Engineer
5,9,9,9,9,3,7,1,8,no,no,yes,no,yes,no,medium,poor,cloud computing,Product based,Math,Non Technical,hard worker,yes,no,Network Security Engineer
0,1,5,9,1,4,3,9,8,no,no,no,yes,yes,yes,medium,poor,security,Testing and Maintainance Services,History,Non Technical,smart worker,yes,yes,Network Security Engineer
8,2,4,2,4,3,7,7,2,no,no,yes,yes,no,yes,medium,medium,testing,Web Services,Religion-Spirituality,Technical,hard worker,yes,no,Network Security Engineer
0,7,3,1,3,1,4,6,3,no,yes,yes,no,no,no,medium,medium,cloud computing,Service Based,Health,Technical,hard worker,no,yes,Network Security Engineer
0,7,3,0,3,4,7,7,3,no,yes,yes,no,no,yes,medium,poor,testing,Sales and Marketing,Health,Technical,hard worker,no,yes,Network Security Engineer
9,0,7,8,1,4,2,3,6,yes,no,no,yes,no,no,excellent,excellent,developer,Testing and Maintainance Services,Health,Technical,smart worker,no,yes,Network Security Engineer
5,2,4,0,3,1,7,7,4,yes,no,no,no,yes,no,poor,poor,system developer,Web Services,Self help,Non Technical,smart worker,no,yes,Network Security Engineer
6,9,7,5,4,2,6,6,5,no,yes,yes,no,yes,yes,excellent,excellent,security,BPA,Satire,Technical,hard worker,yes,no,Network Security Engineer
0,7,4,5,4,8,6,5,6,no,no,no,yes,yes,no,poor,excellent,developer,Finance,Guide,Technical,hard worker,no,yes,Network Security Engineer
4,5,3,5,6,5,7,3,5,yes,no,no,yes,no,yes,excellent,poor,system developer,Sales and Marketing,Encyclopedias,Non Technical,hard worker,yes,no,Network Security Engineer
7,7,7,3,4,1,4,9,9,no,yes,yes,yes,yes,yes,poor,medium,testing,Service Based,Romance,Non Technical,hard worker,no,yes,Network Security Engineer
3,1,4,4,6,9,6,2,9,no,no,no,yes,no,no,medium,excellent,testing,Cloud Services,Encyclopedias,Non Technical,hard worker,no,no,Network Security Engineer
3,9,6,6,1,3,6,6,3,no,no,no,yes,yes,no,excellent,excellent,security,Service Based,Poetry,Technical,hard worker,no,no,Network Security Engineer
3,8,1,7,2,9,3,3,0,no,yes,yes,no,no,no,poor,poor,developer,Cloud Services,Guide,Non Technical,hard worker,no,yes,Network Security Engineer
8,6,6,3,7,9,8,3,5,yes,no,yes,yes,yes,no,medium,poor,developer,BPA,Diaries,Non Technical,hard worker,no,no,Network Security Engineer
0,4,2,2,7,0,8,4,2,no,yes,yes,yes,yes,yes,poor,excellent,security,product development,Horror,Technical,hard worker,no,no,Network Security Engineer
7,5,5,3,4,9,9,5,0,no,yes,yes,yes,no,yes,poor,excellent,testing,Service Based,Satire,Technical,smart worker,no,yes,Network Security Engineer
3,2,3,3,8,2,4,2,8,no,no,no,yes,yes,yes,poor,excellent,security,product development,Childrens,Non Technical,hard worker,no,no,Network Security Engineer
3,1,0,4,4,8,0,2,5,no,no,yes,yes,yes,yes,excellent,excellent,developer,Product based,Travel,Technical,hard worker,yes,yes,Network Security Engineer
7,3,3,2,4,5,3,6,4,yes,yes,no,no,no,yes,poor,poor,testing,SAaS services,Anthology,Non Technical,hard worker,no,no,Network Security Engineer
4,1,6,4,7,5,1,6,6,no,no,yes,yes,yes,yes,poor,medium,system developer,Sales and Marketing,Series,Technical,smart worker,yes,no,Network Security Engineer
4,4,3,4,3,8,7,7,1,yes,yes,yes,yes,yes,no,poor,medium,Business process analyst,SAaS services,Fantasy,Non Technical,smart worker,no,no,Network Security Engineer
5,0,1,3,3,3,1,6,5,yes,yes,no,no,yes,yes,medium,excellent,security,SAaS services,Childrens,Technical,smart worker,yes,no,Network Security Engineer
0,9,9,1,4,3,5,0,5,no,yes,yes,no,no,yes,excellent,poor,developer,BPA,Mystery,Non Technical,smart worker,no,no,Network Security Engineer
4,6,3,9,1,8,5,7,7,no,no,no,yes,no,no,medium,excellent,cloud computing,Product based,Mystery,Non Technical,hard worker,no,yes,Network Security Engineer
0,3,1,6,2,9,4,3,0,yes,no,yes,no,no,no,excellent,medium,developer,SAaS services,Cookbooks,Non Technical,smart worker,no,yes,Network Security Engineer
4,6,1,0,0,4,8,5,3,no,yes,yes,no,no,yes,excellent,excellent,system developer,Product based,Autobiographies,Technical,hard worker,yes,yes,Network Security Engineer
5,8,5,5,1,3,8,1,1,no,no,yes,no,yes,yes,medium,poor,system developer,Sales and Marketing,Prayer books,Technical,smart worker,no,yes,Network Security Engineer
