University,Course_Name,CAO Score,Budget,City,Interest,Job domain
South East Technological University,Bachelor of Science (Honours) in Computer Games Development (SE607),326,5000,Carlow,Singing,Management
South East Technological University,Bachelor of Science (Honours) in Software Development (SE603),347,6500,Carlow,Chess,Support
South East Technological University,Bachelor of Science in Software Development (SE609),270,6500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science (Honours) in Information Technology Management (SE601),310,6750,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Information Technology Management (SE614),251,2500,Carlow,Cricket,IT
South East Technological University,Higher Certificate Science in Computing (with Options in Applications or Programming) (SE616),225,2800,Carlow,Football,HR
South East Technological University,Bachelor of Science (Honours) Common Entry (SE500),256,2900,Carlow,Singing,Management
South East Technological University,Bachelor of Science (Honours) in Biosciences with Biopharmaceuticals (SE500),279,4210,Carlow,Chess,Support
South East Technological University,Bachelor of Science (Honours) in Pharmaceutics and Drug Formulation (SE500),279,3689,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science (Honours) in Brewing and Distilling (SE521),317,3489,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Biosciences (SE515),208,2240,Carlow,Cricket,IT
South East Technological University,Bachelor of Science in Analytical Science (SE513),270,2120,Carlow,Football,HR
South East Technological University,Higher Certificate Science in Applied Biology or Applied Chemistry (SE516),191,5000,Carlow,Singing,Management
South East Technological University,Higher Certificate in Science in Pharmacy Technician Studies (SE937),224,4500,Carlow,Chess,Support
South East Technological University,Bachelor of Engineering (Honours) in Electronic Systems (SE708),224,3500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Engineering in Electronic Engineering (SE722),307,6500,Carlow,Automation,Law
South East Technological University,Bachelor of Science (Honours) in TV and Media Production (SE208),270,7500,Carlow,Cricket,IT
South East Technological University,Bachelor of Science in TV and Media Production (SE212),285,7000,Carlow,Football,HR
South East Technological University,Bachelor of Engineering in Aircraft Systems (SE729),327,8000,Carlow,Singing,Management
South East Technological University,Bachelor of Engineering (Honours) Agricultural Systems Engineering (SE732),200,5000,Carlow,Chess,Support
South East Technological University,Bachelor of Engineering Agricultural Systems Engineering (SE733),100,6500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Engineering in Mechanical Engineering (SE724),338,6500,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Pilot Studies (SE715),100,6750,Carlow,Cricket,IT
South East Technological University,Bachelor of Engineering (Honours) in Mechanical Engineering (SE711),379,2500,Carlow,Football,HR
South East Technological University,Bachelor of Engineering (Honours) in Aerospace Engineering (SE714),395,2800,Carlow,Singing,Management
South East Technological University,Bachelor of Science (Honours) in Sustainable Farm Management and Agribusiness (SE5030,246,2900,Carlow,Chess,Support
South East Technological University,Bachelor of Science (Honours) Organic Agriculture (SE517),100,4210,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science Organic Agriculture (SE518),100,3689,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Sustainable Farm Management and Agribusiness (SE509),164,3489,Carlow,Cricket,IT
South East Technological University,Bachelor of Education (Honours) in Early Childhood Education and Practice (SE912),260,2240,Carlow,Football,HR
South East Technological University,Bachelor of Education in Early Childhood Education and Practice (SE934),223,2120,Carlow,Singing,Management
South East Technological University,Bachelor of Arts (Honours) in Applied Social Studies in Professional Social Care (SE917),222,5000,Carlow,Chess,Support
South East Technological University,Bachelor of Business (Honours) Common Entry (SE402),310,4500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Business (Honours) in Business (SE402),310,3500,Carlow,Automation,Law
South East Technological University,Bachelor of Business (Honours) in Digital Marketing (SE402),310,6500,Carlow,Cricket,IT
South East Technological University,Bachelor of Business Common Entry (Options in Business & Digital Marketing) (SE416),250,7500,Carlow,Football,HR
South East Technological University,Bachelor of Business in Business (SE416),250,7000,Carlow,Singing,Management
South East Technological University,Bachelor of Business in Digital Marketing (SE416),250,8000,Carlow,Chess,Support
South East Technological University,Higher Certificate in Business (XBS) (SE420),172,5000,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science (Honours) in Tourism and Event Management (SE922),251,6500,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Tourism and Event Management (SE925),223,6500,Carlow,Cricket,IT
South East Technological University,Bachelor of Arts (Honours) Visual Communications and Design (SE204),264,6750,Carlow,Football,HR
South East Technological University,Bachelor of Arts Visual Communications and Design (SE210),100,2500,Carlow,Singing,Management
South East Technological University,Bachelor of Arts (Honours) in Art (SE207),101,2800,Carlow,Chess,Support
South East Technological University,Bachelor of Arts in Art (SE211),102,2900,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Engineering (Honours) Agricultural Systems Engineering (SE732),103,4210,Carlow,Automation,Law
South East Technological University,Bachelor of Engineering Agricultural Systems Engineering (SE733),104,3689,Carlow,Cricket,IT
Technological University of the Shannon,"International Business
Bachelor of Business (Honours)(US853)",281,4210,Athlone,Football,HR
Technological University of the Shannon,"Business
Bachelor of Business(US720)",228,3689,Athlone,Singing,Management
Technological University of the Shannon,"Business
Bachelor of Business (Honours)(US840)",298,3489,Athlone,Chess,Support
Technological University of the Shannon,"Business and Law
Bachelor of Business (Honours)(US848)",900,2240,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Digital Marketing
Bachelor of Business (Honours)(US844)",297,2120,Athlone,Automation,Law
Technological University of the Shannon,"Digital Marketing
Bachelor of Business(US724)",235,5000,Athlone,Cricket,IT
Technological University of the Shannon,"Civil Engineering
Bachelor of Engineering (Honours)(AL811)",256,4500,Athlone,Football,HR
Technological University of the Shannon,"Business
Higher Certificate in Business(US611)",272,3500,Athlone,Singing,Management
Technological University of the Shannon,"Business
Higher Diploma",233,6500,Athlone,Chess,Support
Technological University of the Shannon,"Early Years Care and Education
Bachelor of Arts (Honours)(AL864)",306,7500,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Applied Psychology
Bachelor of Science (Honours)(AL870)",484,4210,Athlone,Automation,Law
Technological University of the Shannon,"BA (Hons) in Accounting with Finance
Bachelor of Arts (Honours)(US846)",310,3689,Athlone,Cricket,IT
Technological University of the Shannon,"BA (Hons) in Accounting with Finance and placement
Bachelor of Arts (Honours)(US847)",310,3489,Athlone,Football,HR
Technological University of the Shannon,"Hospitality Management (International Placement)
Bachelor of Arts (Honours)(AL855)",309,2240,Athlone,Singing,Management
Technological University of the Shannon,"Graphic & Digital Design
Bachelor of Arts (Honours)(AL863)",547,2120,Athlone,Chess,Support
Technological University of the Shannon,"Animation and Illustration
Bachelor of Arts (Honours)(AL861)",575,5000,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Social Care Practice
Bachelor of Arts (Honours)(AL860)",301,4500,Athlone,Automation,Law
Technological University of the Shannon,"Applied Social Studies in Social Care
Bachelor of Arts(AL765)",300,3500,Athlone,Cricket,IT
Technological University of the Shannon,"Early Years Care and Education
Bachelor of Arts(AL764)",260,6500,Athlone,Football,HR
Technological University of the Shannon,"Graphic Design
Bachelor of Arts(AL763)",642,7500,Athlone,Singing,Management
Technological University of the Shannon,"B.B. Hons Sport Management (with international placement)
Bachelor of Business (Honours)(AL854)",300,6000,Athlone,Chess,Support
Technological University of the Shannon,"Bachelor of Engineering (Honours) in Mechanical & Polymer Engineering
Bachelor of Engineering(AL820)",327,7000,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Automation & Robotics
Bachelor of Engineering(AL712)",247,8000,Athlone,Automation,Law
Technological University of the Shannon,"Civil Engineering
Bachelor of Engineering(US761)",242,9000,Athlone,Cricket,IT
Technological University of the Shannon,"Computer Engineering
Bachelor of Engineering(AL704)",210,10000,Athlone,Football,HR
Technological University of the Shannon,"Mechanical Engineering
Bachelor of Engineering(AL710)",243,6000,Athlone,Singing,Management
Technological University of the Shannon,"Bachelor of Engineering in Computer Engineering for Robotics
Bachelor of Engineering (US716)",325,7000,Athlone,Chess,Support
Technological University of the Shannon,"BSc(Hons) in Bioveterinary Science
Bachelor of Science (Honours)(AL842)",338,4210,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Microbiology
Bachelor of Science (Honours)(AL839)",325,3689,Athlone,Automation,Law
Technological University of the Shannon,"Software Design with Virtual Reality and Gaming
Bachelor of Science (Honours)(AL801)",300,3489,Athlone,Cricket,IT
Munster Technological University,MT 750 BSc (Agriculture),425,8000,Cork,Cricket,IT
Munster Technological University,MT 774 BSc (Chemistry),550,5000,Cork,Football,HR
Munster Technological University,CR_SBIBI_7 BSc (Biological Sciences),535,6500,Cork,Singing,Management
Munster Technological University,MT 705 BSc (Information Technology),475,6500,Cork,Chess,Support
Munster Technological University,MT 747 Automotive Technology and Management (BSc) (Level 7),450,6750,Cork,Athletics ,Finance 
Munster Technological University,MT 766 Nautical Science (BSc) (Level 7),500,2500,Cork,Automation,Law
Munster Technological University,MT 770 Physical Sciences (Common Entry) Level 7 CR300,525,2800,Cork,Cricket,IT
Munster Technological University,MT 760 Interior Architecture (BSc) (Level 7),500,2900,Cork,Football,HR
Munster Technological University,CR_SFSTE_7 Food and Health Science (BSc Degree),350,4210,Cork,Singing,Management
Munster Technological University,MT 739 Biomedical Engineering (BEng) (Level 7),555,3689,Cork,Chess,Support
Munster Technological University,MT 765 Marine Electrotechnology (BEng),540,3489,Cork,Athletics ,Finance 
Munster Technological University,3D CAD & Solid Modelling - Cork Campus (CR_ECADM_6),327,3689,Cork,Cricket,Law
Munster Technological University,Accountants - Institute of Certified Public Accountants in Ireland - Cork Campus (CR_BCPAC_8),243,5000,Cork,Athletics ,Management
Munster Technological University,Accounting & Business - ACCA - Cork Campus (CR_BACCB_6),300,7500,Cork,Chess,IT
Griffith College Cork,Accounting & Finance (GC201),308,6000,Cork,Athletics ,IT
Munster Technological University,Accounting - Applied Accounting - Cork Campus (CR_BAACC_9),307,7000,Cork,Cricket,HR
Munster Technological University,Accounting - Cork Campus (CR_BACCE_8),309,8000,Cork,Football,Management
Munster Technological University,Accounting - Cork Campus (MT942),302,3689,Cork,Singing,Support
Munster Technological University,Agri-Biosciences - Cork Campus (MT879),325,6000,Cork,Chess,Support
Munster Technological University,Agriculture - Clonakilty / Cork Campus (MT750),310,8000,Cork,Cricket,Law
Munster Technological University,Analytical & Pharmaceutical Chemistry - Cork Campus (MT774),642,4500,Cork,Singing,Law
Munster Technological University,Analytical Chemistry with Quality Assurance - Cork Campus (MT874),300,3500,Cork,Chess,IT
NUI Galway ,Bachelor of Agricultural Science (GY322),451,2120,Galway ,Cricket,IT
NUI Galway ,Bachelor of Biomedical Engineering (GY408),566,2240,Galway ,Football,HR
NUI Galway ,Bachelor of Biomedical Science (GY303),589,2120,Galway ,Singing,Management
NUI Galway ,Bachelor of Biopharmaceutical Chemistry (GY318),554,5000,Galway ,Chess,Support
NUI Galway ,Bachelor of Biotechnology (GY304),485,4500,Galway ,Athletics ,Finance 
NUI Galway ,Bachelor of Civil Engineering (GY402),500,3500,Galway ,Cricket,Law
NUI Galway ,Bachelor of Computer Science and Information Technology (GY350),510,6500,Galway ,Football,IT
NUI Galway ,Bachelor of Earth and Ocean Sciences (GY350),403,7500,Galway ,Singing,IT
NUI Galway ,Bachelor of Electrical and Electronic Engineering (GY414),509,6000,Galway ,Chess,HR
NUI Galway ,Bachelor of Electronic and Computer Engineering (GY406),500,7000,Galway ,Athletics ,Management
NUI Galway ,Bachelor of Energy Systems Engineering (GY413),509,8000,Galway ,Cricket,Support
NUI Galway ,Bachelor of Engineering (Undenominated) (GY401),531,8000,Galway ,Football,Finance 
NUI Galway ,Bachelor of Environmental Health and Safety (GY313),402,3689,Galway ,Singing,Law
NUI Galway ,Bachelor of Environmental Science (GY308),512,3489,Galway ,Chess,IT
NUI Galway ,Bachelor of Financial Mathematics and Economics (GY309),510,2240,Galway ,Athletics ,HR
NUI Galway ,Bachelor of Genetics and Genomics (GY321),543,2120,Galway ,Cricket,Management
NUI Galway ,Bachelor of Marine Science (GY310),460,5000,Galway ,Football,Support
NUI Galway ,Bachelor of Mathematical Science (GY319),510,4500,Galway ,Cricket,Finance 
NUI Galway ,Bachelor of Mechanical Engineering (GY405),566,3500,Galway ,Football,Law
NUI Galway ,"Bachelor of Physics - degree options in Applied, Astrophysics, Biomedical, Climate, Theoretical (GY320)",410,3689,Galway ,Singing,IT
NUI Galway ,Bachelor of Project and Construction Management (GY410),520,3489,Galway ,Chess,IT
NUI Galway ,Bachelor of Science (Bachelor) (GY301),462,2240,Galway ,Athletics ,HR
Mayo Sligo Leitrim ETB,Adult Basic Education (48532),378,2240,Mayo,Cricket,IT
Mayo Teagasc Training Centre - Ballinrobe,Adult Green Cert - Part-time (5M20454 6S20487),256,2120,Mayo,Football,HR
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Agriculture (5M20454),215,5000,Mayo,Singing,Management
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Agriculture - Advanced - Green Cert (6M20486),357,4500,Mayo,Chess,Support
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Agriculture - Green Cert (5M20454 6S20487),450,3500,Mayo,Athletics ,Finance 
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Animal Care (5M2768),520,3689,Mayo,Cricket,Law
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Animal Grooming (5N0752),462,3489,Mayo,Football,IT
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Animal Science - Advanced (6M5153),300,2240,Mayo,Cricket,HR
Mayo College of FE & Training - Ballina Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Animation (5M5048),325,2120,Mayo,Football,Management
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Art (6M4029),378,2240,Mayo,Singing,Support
St. Louis Community School,Art (114358),256,2120,Mayo,Chess,Finance 
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Art - Life Drawing (98497),111,4500,Mayo,Cricket,IT
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Astronomy (101421),185,3500,Mayo,Football,HR
National Learning Network Mayo - Castlebar,Autism Support Programme - The Hub (110699),165,6500,Mayo,Cricket,Management
Mayo Sligo Leitrim ETB,Back to Education Initiative BTEI (108635),245,7500,Mayo,Football,Support
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Beauty Therapy (6M3479),298,2240,Mayo,Chess,Law
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Beauty Therapy (5M3471),460,2120,Mayo,Athletics ,IT
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Beekeeping (5N2554),510,5000,Mayo,Cricket,HR
St. Louis Community School,Bookkeeping Manual & Computerised (5N1354),566,4500,Mayo,Football,Management
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Business - Advanced (6M4985),462,3489,Mayo,Singing,Law
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Business Studies Administration with Marketing (5M2102),186,2120,Mayo,Athletics ,HR
National Learning Network Mayo - Castlebar,Career Pathways (3M0935 4M0857),211,5000,Mayo,Cricket,Finance 
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Cleanroom Operations (5N1921),247,3500,Mayo,Singing,IT
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Computer Systems & Networks - Network Technician - Advanced (6M0695),242,6500,Mayo,Chess,HR
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Computer Systems & Networks with Mobile Technologies - Network Technician (5M0536),210,7500,Mayo,Athletics ,Management
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Creative Application Ceramics (6N3445),338,2120,Mayo,Cricket,Law
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Disability Studies with SNA (5M4468),211,2120,Mayo,Cricket,IT
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Early Learning & Care (5M21473),125,6500,Mayo,Chess,IT
SETU - Waterford Campus and SETU - South East Technological University,Advanced Chromatographic Techniques (WD575),350,5000,Waterford,Cricket,IT
SETU - Waterford Campus and SETU - South East Technological University,Advanced Drug Formulation Science (WD605),365,5000,Waterford,Football,HR
SETU - Waterford Campus and SETU - South East Technological University,Advanced Facilitation Skills for Promoting Health & Well Being (WD591),400,3500,Waterford,Singing,Management
SETU - Waterford Campus and SETU - South East Technological University,Advanced Materials Characterisation (WD577),421,4000,Waterford,Chess,Support
SETU - Waterford Campus and SETU - South East Technological University,Advanced Spectroscopic Techniques (WD576),365,4500,Waterford,Cricket,Law
SETU - Waterford Campus and SETU - South East Technological University,Applied Spirituality (WD590),375,4000,Waterford,Football,IT
SETU - Waterford Campus and SETU - South East Technological University,Biopharmaceutical Analysis & Cell Culture (WD594),425,3500,Waterford,Singing,Support
SETU - Waterford Campus and SETU - South East Technological University,Business - Economics & Finance Stream (WD507),450,5000,Waterford,Chess,Finance 
SETU - Waterford Campus and SETU - South East Technological University,Business - Finance and Business Analytics (WD610),450,5000,Waterford,Cricket,Law
SETU - Waterford Campus and SETU - South East Technological University,Business - Finance and Business Analytics (WD609),450,5000,Waterford,Football,IT
SETU - Waterford Campus and SETU - South East Technological University,Business - Human Resource Management Stream (WD509),450,5500,Waterford,Singing,IT
SETU - Waterford Campus and SETU - South East Technological University,Business - Internationalisation (WD502),425,6500,Waterford,Chess,HR
SETU - Waterford Campus and SETU - South East Technological University,Business - Investment Fund Administration (WD611),465,6500,Waterford,Cricket,Management
SETU - Waterford Campus and SETU - South East Technological University,Business - Management Stream (WD510),500,6500,Waterford,Football,Support
SETU - Waterford Campus and SETU - South East Technological University,Business - Marketing Stream (WD506),350,6500,Waterford,Singing,Law
SETU - Waterford Campus and SETU - South East Technological University,Business Administration - DBA (WD560),450,7500,Waterford,Chess,IT
SETU - Waterford Campus and SETU - South East Technological University,Business Administration - Executive MBA (WD504),550,8000,Waterford,Cricket,Support
SETU - Waterford Campus and SETU - South East Technological University,Cognitive Behaviour Therapy CBT & Motivational Interviewing MI for Practice (WD587),550,10000,Waterford,Football,Finance 
SETU - Waterford Campus and SETU - South East Technological University,Computing - Enterprise Software Systems (WD571),500,7500,Waterford,Singing,Law
SETU - Waterford Campus and SETU - South East Technological University,Computing - Information Systems Processes (WD516),450,7500,Waterford,Chess,IT
SETU - Waterford Campus and SETU - South East Technological University,Construction Project Management (WD542 WD553),500,6500,Waterford,Cricket,IT
SETU - Waterford Campus and SETU - South East Technological University,Digital Marketing Practice (BDMAP),375,5000,Waterford,Football,HR
SETU - Waterford Campus and SETU - South East Technological University,Digital Marketing Practice (WD607),400,5000,Waterford,Singing,Management
SETU - Waterford Campus and SETU - South East Technological University,Early Childhood Studies Care & Education (WD592),375,4500,Waterford,Chess,Support
SETU - Waterford Campus and SETU - South East Technological University,Economics & Finance (WD608),365,4000,Waterford,Cricket,Law
SETU - Waterford Campus and SETU - South East Technological University,Education - Management in Education (WD548),350,4500,Waterford,Football,IT
SETU - Waterford Campus and SETU - South East Technological University,Education - Teaching and Learning in Higher Education (WD366),350,4500,Waterford,Singing,Support
SETU - Waterford Campus and SETU - South East Technological University,Education - Teaching in Further Education (WD569),425,5000,Waterford,Chess,Finance 
SETU - Waterford Campus and SETU - South East Technological University,Education - Teaching in Further Education (WD589),400,4500,Waterford,Cricket,Law
SETU - Waterford Campus and SETU - South East Technological University,Education in Teaching & Learning (WD603),415,4500,Waterford,Football,IT
SETU - Waterford Campus and SETU - South East Technological University,Engineering - Electronic Engineering (WD543 WD599),400,4500,Waterford,Singing,IT
SETU - Waterford Campus and SETU - South East Technological University,Engineering - Innovative Technology Engineering (WD555 WD557),375,3500,Waterford,Chess,HR
SETU - Waterford Campus and SETU - South East Technological University,Engineering - Sustainable Energy Engineering (WD554 WD556),350,5000,Waterford,Cricket,Management
SETU - Waterford Campus and SETU - South East Technological University,Food Safety & Analytical Microbiology (WD585),365,5500,Waterford,Football,Support
SETU - Waterford Campus and SETU - South East Technological University,International Regulatory Affairs (WD583),425,3500,Waterford,Singing,Law
SETU - Waterford Campus and SETU - South East Technological University,Lean Enterprise Excellence (WD597),435,5000,Waterford,Chess,IT
SETU - Waterford Campus and SETU - South East Technological University,Management (WD514),450,4500,Waterford,Cricket,Support
SETU - Waterford Campus and SETU - South East Technological University,Management Development (WD596),400,4000,Waterford,Football,Finance 
SETU - Waterford Campus and SETU - South East Technological University,Management for Healthcare Professionals (WD593),500,3500,Waterford,Singing,Law
SETU - Waterford Campus and SETU - South East Technological University,Nursing (WD602),500,4000,Waterford,Chess,IT
SETU - Waterford Campus and SETU - South East Technological University,Palliative Care for Healthcare Professionals (WD334),550,3500,Waterford,Cricket,IT
SETU - Waterford Campus and SETU - South East Technological University,Project Management (WD600),365,4500,Waterford,Football,HR
SETU - Waterford Campus and SETU - South East Technological University,Research Programmes (98671),400,4000,Waterford,Singing,Management
SETU - Waterford Campus and SETU - South East Technological University,Respiratory Care Skills - Intellectual Disabilities (WD335),575,6500,Waterford,Chess,Support
SETU - Waterford Campus and SETU - South East Technological University,Social Justice & Public Policy (WD595),365,2500,Waterford,Cricket,Law
SETU - Waterford Campus and SETU - South East Technological University,Sport & Exercise Psychology - Applied (WD523),400,3500,Waterford,Football,IT
SETU - Waterford Campus and SETU - South East Technological University,Statistics & Data Analysis (WD581),450,6500,Waterford,Singing,Support
SETU - Waterford Campus and SETU - South East Technological University,Strategic Quality Management (WD580),475,5000,Waterford,Chess,Finance 
SETU - Waterford Campus and SETU - South East Technological University,Television & Media Production / Telifís agus na Meáin (WD551),250,4500,Waterford,Cricket,Law
SETU - Wexford Campus and SETU - South East Technological University,Agriculture - Organic Agriculture - Wexford Campus (SE518),400,3500,Wexford,Cricket,HR
SETU - Wexford Campus and SETU - South East Technological University,Agriculture - Organic Agriculture - Wexford Campus (SE517),400,3500,Wexford,Football,Management
SETU - Wexford Campus and SETU - South East Technological University,Art - Wexford - Hill Street Campus (SE207),375,2500,Wexford,Singing,Support
SETU - Wexford Campus and SETU - South East Technological University,Art - Wexford - Hill Street Campus (SE211),375,2500,Wexford,Chess,Law
SETU - Wexford Campus and SETU - South East Technological University,Business - Wexford Campus (SE402),350,5000,Wexford,Cricket,IT
SETU - Wexford Campus and SETU - South East Technological University,Business - Wexford Campus (SE416),400,5000,Wexford,Cricket,Support
SETU - Wexford Campus and SETU - South East Technological University,Early Childhood Education & Practice - Wexford Campus (SE934),450,4500,Wexford,Football,Finance 
SETU - Wexford Campus and SETU - South East Technological University,Early Childhood Education & Practice - Wexford Campus (SE912),450,4500,Wexford,Singing,Law
SETU - Wexford Campus and SETU - South East Technological University,Social Care - Applied Social Studies in Professional Social Care - Wexford Campus (SE917),350,4000,Wexford,Chess,HR
SETU - Wexford Campus and SETU - South East Technological University,Sustainable Farm Management & Agribusiness - Wexford Campus (SE509),275,3750,Wexford,Cricket,Management
SETU - Wexford Campus and SETU - South East Technological University,Sustainable Farm Management & Agribusiness - Wexford Campus (SE503),275,3750,Wexford,Cricket,Support
SETU - Wexford Campus and SETU - South East Technological University,Tourism & Event Management - Wexford Campus (SE925),250,3750,Wexford,Football,Law
SETU - Wexford Campus and SETU - South East Technological University,Tourism & Event Management - Wexford Campus (SE922),250,3750,Wexford,Singing,IT
SETU - Wexford Campus and SETU - South East Technological University,Visual Communications & Design - Wexford Campus (SE204),325,4250,Wexford,Chess,Support
SETU - Wexford Campus and SETU - South East Technological University,Visual Communications & Design - Wexford Campus (SE210),325,4250,Wexford,Cricket,Finance 
Technological University of the Shannon,Accounting with Finance & Placement - Athlone Campus (US847),450,5000,Athlone,Cricket,HR
Technological University of the Shannon,Accounting with Finance - Athlone Campus (US846),425,5000,Athlone,Football,Management
Technological University of the Shannon,Animation & Illustration - Athlone Campus (US802),450,5600,Athlone,Singing,Support
Technological University of the Shannon,Athletic & Rehabilitation Therapy - Athlone Campus (US956),425,6000,Athlone,Chess,Law
Technological University of the Shannon,Automation & Robotics - Athlone Campus (US776),500,6000,Athlone,Cricket,IT
Technological University of the Shannon,Automation & Robotics - Athlone Campus (US916),500,3500,Athlone,Cricket,Support
Technological University of the Shannon,Bar Supervision - Athlone Campus (US632),275,3450,Athlone,Football,Finance 
Technological University of the Shannon,Biotechnology - Athlone Campus (US731),500,5000,Athlone,Singing,HR
Technological University of the Shannon,Biotechnology - Athlone Campus (US861),500,5600,Athlone,Chess,Management
Technological University of the Shannon,Business - Sport & Recreation - Athlone Campus (US613),450,5500,Athlone,Cricket,Support
Technological University of the Shannon,Business & Law - Athlone Campus (US848),475,5700,Athlone,Cricket,Law
Technological University of the Shannon,Business - Athlone Campus (US720),450,5600,Athlone,Football,IT
Technological University of the Shannon,Business - Athlone Campus (US611),450,4500,Athlone,Singing,Support
Technological University of the Shannon,Business - Athlone Campus (US840),450,3750,Athlone,Chess,Finance 
Technological University of the Shannon,Business - International Business - Athlone Campus (US853),475,5500,Athlone,Cricket,HR
Technological University of the Shannon,Computer Engineering - Athlone Campus (US714),525,6700,Athlone,Cricket,Management
Technological University of the Shannon,Computer Engineering for Network Infrastructure - Athlone Campus (US824),550,8750,Athlone,Football,Support
Technological University of the Shannon,Computer Engineering for Robotics - Athlone Campus (US716),550,8750,Athlone,Singing,Law
Technological University of the Shannon,Computer Engineering with Network Infrastructure - Athlone Campus (US711),550,8750,Athlone,Chess,IT
Technological University of the Shannon,Construction Management - Athlone Campus (US884),450,6500,Athlone,Cricket,Support
Technological University of the Shannon,Culinary Arts - Athlone Campus (US630),350,6500,Athlone,Cricket,Finance 
Technological University of the Shannon,Culinary Entrepreneurship - Athlone Campus (US930),375,3500,Athlone,Football,HR
Technological University of the Shannon,Dental Nursing - Athlone Campus (US661),575,8500,Athlone,Singing,Management
Technological University of the Shannon,Digital Marketing - Athlone Campus (US724),275,8500,Athlone,Chess,Support
Technological University of the Shannon,Digital Marketing - Athlone Campus (US844),275,7500,Athlone,Cricket,Law
Technological University of the Shannon,Early Years Care & Education - Athlone Campus (US926),250,7500,Athlone,Cricket,IT
Technological University of the Shannon,Early Years Care & Education - Athlone Campus (US780),250,7450,Athlone,Football,Support
Technological University of the Shannon,Engineering - Civil Engineering - Athlone Campus (US761),550,7450,Athlone,Singing,Finance 
Technological University of the Shannon,Engineering - Civil Engineering - Athlone Campus (US887),550,7450,Athlone,Chess,HR
Technological University of the Shannon,Engineering - Common Entry - Athlone Campus (US773),400,7450,Athlone,Cricket,Management
Technological University of the Shannon,Engineering - Mechanical & Polymer Engineering - Athlone Campus (US777),475,7450,Athlone,Cricket,Support
Technological University of the Shannon,Engineering - Mechanical & Polymer Engineering - Athlone Campus (US913),475,7450,Athlone,Football,Law
Technological University of the Shannon,Engineering - Mechanical Engineering - Athlone Campus (US910),465,7450,Athlone,Singing,IT
Technological University of the Shannon,Engineering - Mechanical Engineering - Athlone Campus (US770),465,7420,Athlone,Chess,Support
Technological University of the Shannon,Engineering - Mechanical Engineering with Energy - Athlone Campus (US912),465,7420,Athlone,Cricket,Finance 
Technological University of the Shannon,Engineering - Mechanical Engineering with Energy - Athlone Campus (US772),465,7420,Athlone,Cricket,HR
Technological University of the Shannon,Graphic & Digital Design - Athlone Campus (US803),401,7410,Athlone,Football,Management
Technological University of the Shannon,Graphic Design - Athlone Campus (US700),401,3500,Athlone,Singing,Support
Technological University of the Shannon,Hospitality Management - Athlone Campus (US932),350,3750,Athlone,Chess,Law
