University,Course Name,CAO opening rank,CAO closing rank,Budget,City,Interest,Job domain,
Technological University of the Shannon,"Digital Marketing
Bachelor of Business(US724)",235,625,5000,Athlone,Cricket,IT,
Technological University of the Shannon,"Civil Engineering
Bachelor of Engineering (Honours)(AL811)",256,625,4500,Athlone,Football,HR,
Technological University of the Shannon,"Business
Higher Certificate in Business(US611)",272,625,3500,Athlone,Singing,Management,
Technological University of the Shannon,"Business
Higher Diploma",233,625,6500,Athlone,Chess,Support,
Technological University of the Shannon,"Early Years Care and Education
Bachelor of Arts (Honours)(AL864)",306,625,7500,Athlone,Athletics ,Finance ,
Technological University of the Shannon,"Applied Psychology
Bachelor of Science (Honours)(AL870)",484,625,4210,Athlone,Automation,Law,
Technological University of the Shannon,"BA (Hons) in Accounting with Finance
Bachelor of Arts (Honours)(US846)",310,625,3689,Athlone,Cricket,IT,
Technological University of the Shannon,"BA (Hons) in Accounting with Finance and placement
Bachelor of Arts (Honours)(US847)",310,625,3489,Athlone,Football,HR,
Technological University of the Shannon,"Hospitality Management (International Placement)
Bachelor of Arts (Honours)(AL855)",309,625,2240,Athlone,Singing,Management,
Technological University of the Shannon,"Graphic & Digital Design
Bachelor of Arts (Honours)(AL863)",547,625,2120,Athlone,Chess,Support,
Technological University of the Shannon,"Animation and Illustration
Bachelor of Arts (Honours)(AL861)",575,625,5000,Athlone,Athletics ,Finance ,
Technological University of the Shannon,"Social Care Practice
Bachelor of Arts (Honours)(AL860)",301,625,4500,Athlone,Automation,Law,
Technological University of the Shannon,"Applied Social Studies in Social Care
Bachelor of Arts(AL765)",300,625,3500,Athlone,Cricket,IT,
Technological University of the Shannon,"Early Years Care and Education
Bachelor of Arts(AL764)",260,625,6500,Athlone,Football,HR,
Technological University of the Shannon,"Graphic Design
Bachelor of Arts(AL763)",642,625,7500,Athlone,Singing,Management,
Technological University of the Shannon,"B.B. Hons Sport Management (with international placement)
Bachelor of Business (Honours)(AL854)",300,625,6000,Athlone,Chess,Support,
Technological University of the Shannon,"Bachelor of Engineering (Honours) in Mechanical & Polymer Engineering
Bachelor of Engineering(AL820)",327,625,7000,Athlone,Athletics ,Finance ,
Technological University of the Shannon,"Automation & Robotics
Bachelor of Engineering(AL712)",247,625,8000,Athlone,Automation,Law,
Technological University of the Shannon,"Civil Engineering
Bachelor of Engineering(US761)",242,625,9000,Athlone,Cricket,IT,
Technological University of the Shannon,"Computer Engineering
Bachelor of Engineering(AL704)",210,625,10000,Athlone,Football,HR,
Technological University of the Shannon,"Mechanical Engineering
Bachelor of Engineering(AL710)",243,625,6000,Athlone,Singing,Management,
Technological University of the Shannon,"Bachelor of Engineering in Computer Engineering for Robotics
Bachelor of Engineering (US716)",325,625,7000,Athlone,Chess,Support,
Technological University of the Shannon,"BSc(Hons) in Bioveterinary Science
Bachelor of Science (Honours)(AL842)",338,625,4210,Athlone,Athletics ,Finance ,
Technological University of the Shannon,"Microbiology
Bachelor of Science (Honours)(AL839)",325,625,3689,Athlone,Automation,Law,
Technological University of the Shannon,"Software Design with Virtual Reality and Gaming
Bachelor of Science (Honours)(AL801)",300,625,3489,Athlone,Cricket,IT,
Dundalk Institute Of Technology,Electronic and Mechanical Engineering (DKA41),308,625,2240,Dundalk,Football,HR,
Dundalk Institute Of Technology,BA (Hons) in Accounting & Finance (DK810),307,625,2120,Dundalk,Singing,Management,
Dundalk Institute Of Technology,BA (Hons) in Applied Youth Work(DK866),309,625,5000,Dundalk,Chess,Support,
Dundalk Institute Of Technology,"
BA (Hons) in Arts( DK861)",302,625,4500,Dundalk,Athletics ,Finance ,
Dundalk Institute Of Technology,BA (Hons) in Audio and Music Production(DK865),352,625,3500,Dundalk,Automation,Law,
Dundalk Institute Of Technology,BA (Hons) in Creative Media( DK863),336,625,6500,Dundalk,Cricket,IT,
Dundalk Institute Of Technology,"
BA (Hons) in Early Childhood Studies(DK876)",300,625,7500,Dundalk,Football,HR,
Dundalk Institute Of Technology,BA (Hons) in Film & Television Production(DK864),308,625,8000,Dundalk,Singing,Management,
Dundalk Institute Of Technology,BA (Hons) in International Tourism Management(DK850),303,625,9000,Dundalk,Chess,Support,
Dundalk Institute Of Technology,BA (Hons) in Social Care (DK862),322,625,10000,Dundalk,Athletics ,Finance ,
Dundalk Institute Of Technology,BA in Audio and Music Production(DK768),329,625,6000,Dundalk,Automation,Law,
Dundalk Institute Of Technology,BA in Community Youth Work(DK767),240,625,4210,Dundalk,Cricket,IT,
Dundalk Institute Of Technology,BA in Culinary Arts(DK753),192,625,3689,Dundalk,Football,HR,
Dundalk Institute Of Technology,BA in Digital Marketing & Public Relations(DK712),206,625,3489,Dundalk,Singing,Management,
Dundalk Institute Of Technology,BA in Hospitality Management(DK750),223,625,2240,Dundalk,Chess,Support,
Dundalk Institute Of Technology,"BA in Sport, Exercise & Enterprise(DK763)",205,625,2120,Dundalk,Athletics ,Finance ,
Dundalk Institute Of Technology,BA in Theatre and Film Practice(DK770),140,625,5000,Dundalk,Automation,Law,
Dundalk Institute Of Technology,Bachelor (Hons) of Business - Monaghan Institute / DkIT,301,625,4500,Dundalk,Cricket,IT,
Dundalk Institute Of Technology,Bachelor of Engineering (Hons) in Engineering (Common Entry)(DK843),404,625,3500,Dundalk,Football,HR,
Dundalk Institute Of Technology,Bachelor of Engineering (Hons) in Electrical and Electronic Engineering(DK845),331,625,6500,Dundalk,Singing,Management,
Dundalk Institute Of Technology,Bachelor of Engineering (Hons) in Civil Engineering(DK846),371,625,7500,Dundalk,Chess,Support,
Dundalk Institute Of Technology,Bachelor of Business Studies (Honours)(DK816),301,625,7000,Dundalk,Athletics ,Finance ,
Dundalk Institute Of Technology,Bachelor of Engineering (Hons) in Mechanical Engineering(DK844),336,625,8000,Dundalk,Automation,Law,
Dundalk Institute Of Technology,Bachelor of Engineering in Civil Engineering(DK744),165,625,9000,Dundalk,Cricket,IT,
Dundalk Institute Of Technology,Bachelor of Engineering in Electrical & Electronic Systems(DK742),166,625,10000,Dundalk,Football,HR,
Dundalk Institute Of Technology,BB in Business and Management(DK710),120,625,4210,Dundalk,Singing,Management,
Dundalk Institute Of Technology,BB in Business and Technology ( DK711),140,625,3689,Dundalk,Chess,Support,
Dundalk Institute Of Technology,BSc (Hons) in Architectural Technology(DK831),368,625,3489,Dundalk,Athletics ,Finance ,
Dundalk Institute Of Technology,BSc (Hons) in Augmented and Virtual Reality(DK822),320,625,2240,Dundalk,Automation,Law,
Dundalk Institute Of Technology,"
BSc (Hons) in Construction Management(DK832)",358,625,2120,Dundalk,Cricket,IT,
Dundalk Institute Of Technology,BSc (Hons) in Computing in Software Development(DK821),320,625,5000,Dundalk,Football,HR,
Dundalk Institute Of Technology,BSc (Hons) in Computing in Games Development(DK820),309,625,4500,Dundalk,Singing,Management,
Dundalk Institute Of Technology,BSc (Hons) in Building Surveying(DK830),305,625,3500,Dundalk,Chess,Support,
Dundalk Institute Of Technology,BSc (Hons) in Intellectual Disability Nursing(DK872),367,625,6500,Dundalk,Athletics ,Finance ,
Dundalk Institute Of Technology,BSc (Hons) in Health and Physical Activity(DK880),301,625,7500,Dundalk,Automation,Law,
Dundalk Institute Of Technology,BSc (Hons) in General Nursing(DK870),440,625,6000,Dundalk,Cricket,IT,
Dundalk Institute Of Technology,BSc (Hons) in Midwifery(DK877),482,625,7000,Dundalk,Football,HR,
Dundalk Institute Of Technology,BSc (Hons) in Mental Health Nursing( DK874),398,625,8000,Dundalk,Singing,Management,
Dundalk Institute Of Technology,BSc (Hons) in Mental Non Health Non Nursing( DK83234),372,625,9000,Dundalk,Chess,Support,
University College Cork,Accounting (BSc (Hons)) CK202,507,625,4210,Cork,Football,HR,
University College Cork,Anthropology (BA (Hons)) (CK123),318,625,3689,Cork,Singing,Management,
University College Cork,Arts (BA (Hons)) CK101,300,625,3489,Cork,Chess,Support,
University College Cork,Biochemistry (BSc (Hons)) (CK402),553,625,2240,Cork,Athletics ,Finance ,
University College Cork,Biological & Chemical Sciences (BSc (Hons)) (CK402),553,625,2120,Cork,Automation,Law,
University College Cork,Business Information Systems (BSc (Hons)) (CK203),458,613,5000,Cork,Cricket,IT,
University College Cork,Chemical Physics (BSc (Hons)) (CK406),578,625,4500,Cork,Football,HR,
University College Cork,Commerce (BComm (Hons)) (CK201),508,625,3500,Cork,Singing,Management,
University College Cork,Computer Science (BSc (Hons)) (CK401),509,625,6500,Cork,Chess,Support,
University College Cork,Data Science & Analytics (BSc (Hons)) (CK 411),467,625,7500,Cork,Athletics ,Finance ,
University College Cork,Electrical & Electronic Engineering (BE (Hons)) (CK600),510,625,7000,Cork,Automation,Law,
Munster Technological University,MT 750 BSc (Agriculture),425,625,8000,Cork,Cricket,IT,
Munster Technological University,MT 774 BSc (Chemistry),550,625,5000,Cork,Football,HR,
Munster Technological University,CR_SBIBI_7 BSc (Biological Sciences),535,625,6500,Cork,Singing,Management,
Munster Technological University,MT 705 BSc (Information Technology),475,625,6500,Cork,Chess,Support,
Munster Technological University,MT 747 Automotive Technology and Management (BSc) (Level 7),450,625,6750,Cork,Athletics ,Finance ,
Munster Technological University,MT 766 Nautical Science (BSc) (Level 7),500,625,2500,Cork,Automation,Law,
Munster Technological University,MT 770 Physical Sciences (Common Entry) Level 7 CR300,525,625,2800,Cork,Cricket,IT,
Munster Technological University,MT 760 Interior Architecture (BSc) (Level 7),500,625,2900,Cork,Football,HR,
Munster Technological University,CR_SFSTE_7 Food and Health Science (BSc Degree),350,625,4210,Cork,Singing,Management,
Munster Technological University,MT 739 Biomedical Engineering (BEng) (Level 7),555,625,3689,Cork,Chess,Support,
Munster Technological University,MT 765 Marine Electrotechnology (BEng),540,625,3489,Cork,Athletics ,Finance ,
Munster Technological University,3D CAD & Solid Modelling - Cork Campus (CR_ECADM_6),327,625,3689,Cork,Cricket,Law,
Cork College of FET,3D Computer aided design - Beginners (109425),247,625,3489,Cork,Football,IT,
Cork College of FET,Accountancy - ACCA (94479),242,625,2240,Cork,Singing,IT,
Cork College of FET,Accountancy - CPA (56495),210,625,2120,Cork,Chess,HR,
Munster Technological University,Accountants - Institute of Certified Public Accountants in Ireland - Cork Campus (CR_BCPAC_8),243,625,5000,Cork,Athletics ,Management,
University College Cork,Accounting (MCAC),325,625,4500,Cork,Cricket,Support,
University College Cork,Accounting (CK202),338,625,3500,Cork,Football,Finance ,
University College Cork,Accounting & Business - ACCA (100788),325,625,6500,Cork,Singing,Law,
Munster Technological University,Accounting & Business - ACCA - Cork Campus (CR_BACCB_6),300,625,7500,Cork,Chess,IT,
Griffith College Cork,Accounting & Finance (GC201),308,625,6000,Cork,Athletics ,IT,
Munster Technological University,Accounting - Applied Accounting - Cork Campus (CR_BAACC_9),307,625,7000,Cork,Cricket,HR,
Munster Technological University,Accounting - Cork Campus (CR_BACCE_8),309,625,8000,Cork,Football,Management,
Munster Technological University,Accounting - Cork Campus (MT942),302,625,3689,Cork,Singing,Support,
Cork College of FET,Accounting - Practical Accounting for Small Business (97218),352,625,3489,Cork,Chess,Finance ,
Cork College of FET,Accounting Technician - Apprenticeship (6M20617),310,625,2240,Cork,Athletics ,Law,
Cork College of FET,Accounting Technician - Year 1 (45319),310,625,2120,Cork,Cricket,IT,
Cork College of FET,Accounting Technician - Year 2 (107391),309,625,5000,Cork,Football,IT,
Cork College of FET,Accounting Technician Diploma (113092),547,625,4500,Cork,Singing,HR,
Cork College of FET,Accounting Technicians (99078),575,625,3500,Cork,Chess,Management,
Cork College of FET,Accounting Technicians Ireland - ATI (73086),301,625,6500,Cork,Athletics ,Support,
Cork College of FET,Accounting Technicians Ireland - Cork Campus (CR_BIATI_6),300,625,7500,Cork,Cricket,Finance ,
Cork College of FET,Accounts Administration - Business Administration (5M2468 5N2066),260,625,6000,Cork,Football,Law,
Cork College of FET,Accounts Administration - Business Administration (5M2468),642,625,7000,Cork,Singing,IT,
Cork College of FET,Acoustic Guitar - Beginners (H04),300,625,8000,Cork,Chess,IT,
Cork College of FET,Acting for Beginners (11835),327,625,3689,Cork,Athletics ,HR,
Cork College of FET,Acting for Stage & Screen (5M5151),247,625,3489,Cork,Cricket,Management,
Cork College of FET,Acting Intermediary (114445),242,625,2240,Cork,Football,Support,
Cork College of FET,Activities of Living Patient Care (5N3707),352,625,2120,Cork,Singing,Finance ,
Cork College of FET,Adobe Photoshop - Beginners (75369),336,625,5000,Cork,Chess,Law,
Cork College of FET,Adult Basic Education Service - Literacy (83084),247,625,4500,Cork,Athletics ,IT,
Cork College of FET,Adult Green Cert - Part-time (5M20454 6S20487),242,625,3500,Cork,Cricket,IT,
Bronwyn Conroy Beauty School,Aesthetic for Beginners Advanced (111696),210,625,6500,Cork,Football,HR,
Douglas Community School,African Drumming - Beginners (H03),243,625,7500,Cork,Singing,Management,
Munster Technological University,Agri-Biosciences - Cork Campus (MT879),325,625,6000,Cork,Chess,Support,
University College Cork,Agricultural Science (CK412),310,625,7000,Cork,Athletics ,Finance ,
Munster Technological University,Agriculture - Clonakilty / Cork Campus (MT750),310,625,8000,Cork,Cricket,Law,
Ballyhaise Agricultural College and Clonakilty Agricultural College,Agriculture - Pig Production / Management (5M20454 6M20486),309,625,8000,Cork,Football,IT,
Ballincollig Community School,Alexander Technique (W9),547,625,3689,Cork,Singing,IT,
Ashton School,Alexander Technique - Beginners (25156),575,625,3489,Cork,Chess,HR,
University College Cork,Alternative Dispute Resolution (LW6619),301,625,2240,Cork,Athletics ,Management,
Ballincollig Community School,Amateur Astronomy - Beginners (M8),300,625,2120,Cork,Cricket,Support,
Ashton School,Amigurumi (112157),260,625,5000,Cork,Football,Finance ,
Munster Technological University,Analytical & Pharmaceutical Chemistry - Cork Campus (MT774),642,625,4500,Cork,Singing,Law,
Munster Technological University,Analytical Chemistry with Quality Assurance - Cork Campus (MT874),300,625,3500,Cork,Chess,IT,
Cork College of FET,Anatomy & Physiology (5N0749),327,625,3689,Cork,Athletics ,HR,
Cork College of FET,Anatomy & Physiology (5N0749),247,625,3489,Cork,Cricket,Management,
Cork College of FET,Anatomy - Physiology (5N0749),242,625,2240,Cork,Football,Support,
NUI Galway ,Bachelor of Agricultural Science (GY322),451,625,2120,Galway ,Cricket,IT,
NUI Galway ,Bachelor of Biomedical Engineering (GY408),566,625,2240,Galway ,Football,HR,
NUI Galway ,Bachelor of Biomedical Science (GY303),589,625,2120,Galway ,Singing,Management,
NUI Galway ,Bachelor of Biopharmaceutical Chemistry (GY318),554,625,5000,Galway ,Chess,Support,
NUI Galway ,Bachelor of Biotechnology (GY304),485,625,4500,Galway ,Athletics ,Finance ,
NUI Galway ,Bachelor of Civil Engineering (GY402),500,625,3500,Galway ,Cricket,Law,
NUI Galway ,Bachelor of Computer Science and Information Technology (GY350),510,625,6500,Galway ,Football,IT,
NUI Galway ,Bachelor of Earth and Ocean Sciences (GY350),403,625,7500,Galway ,Singing,IT,
NUI Galway ,Bachelor of Electrical and Electronic Engineering (GY414),509,625,6000,Galway ,Chess,HR,
NUI Galway ,Bachelor of Electronic and Computer Engineering (GY406),500,625,7000,Galway ,Athletics ,Management,
NUI Galway ,Bachelor of Energy Systems Engineering (GY413),509,625,8000,Galway ,Cricket,Support,
NUI Galway ,Bachelor of Engineering (Undenominated) (GY401),531,625,8000,Galway ,Football,Finance ,
NUI Galway ,Bachelor of Environmental Health and Safety (GY313),402,625,3689,Galway ,Singing,Law,
NUI Galway ,Bachelor of Environmental Science (GY308),512,625,3489,Galway ,Chess,IT,
NUI Galway ,Bachelor of Financial Mathematics and Economics (GY309),510,625,2240,Galway ,Athletics ,HR,
NUI Galway ,Bachelor of Genetics and Genomics (GY321),543,625,2120,Galway ,Cricket,Management,
NUI Galway ,Bachelor of Marine Science (GY310),460,625,5000,Galway ,Football,Support,
NUI Galway ,Bachelor of Mathematical Science (GY319),510,625,4500,Galway ,Cricket,Finance ,
NUI Galway ,Bachelor of Mechanical Engineering (GY405),566,625,3500,Galway ,Football,Law,
NUI Galway ,"Bachelor of Physics - degree options in Applied, Astrophysics, Biomedical, Climate, Theoretical (GY320)",410,625,3689,Galway ,Singing,IT,
NUI Galway ,Bachelor of Project and Construction Management (GY410),520,625,3489,Galway ,Chess,IT,
NUI Galway ,Bachelor of Science (Bachelor) (GY301),462,625,2240,Galway ,Athletics ,HR,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Accounting,300,625,2120,Galway ,Cricket,Management,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) Agricultural Engineering,325,625,2240,Galway ,Football,Support,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Agriculture and Environmental Management,378,625,2120,Galway ,Singing,Finance ,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Applied Biology and Biopharmaceutical Science,256,625,5000,Galway ,Chess,Law,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Applied Freshwater and Marine Biology,215,625,4500,Galway ,Athletics ,IT,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Architectural Technology,357,625,3500,Galway ,Cricket,HR,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) BioMedical Engineering,450,625,6500,Galway ,Football,Management,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Business,433,625,7500,Galway ,Singing,Support,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Business Information Systems,244,625,6000,Galway ,Chess,Finance ,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Chemical and Pharmaceutical Science,267,625,7000,Galway ,Athletics ,Law,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) Civil Engineering,235,625,8000,Galway ,Cricket,IT,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Common Science (Undenominated),278,625,8000,Galway ,Football,IT,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Computing and Digital Media,279,625,3689,Galway ,Cricket,HR,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Computing in Software Development,510,625,3489,Galway ,Football,Management,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Construction Management,190,625,2240,Galway ,Singing,Support,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Digital Accounting,278,625,2120,Galway ,Chess,Finance ,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Digital Accounting,345,625,5000,Galway ,Athletics ,Law,
ATU - Atlantic Technological University,"Bachelor of Science (Honours) Education (Design, Graphics and Construction)",278,625,4500,Galway ,Cricket,IT,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) Energy Engineering,289,625,3500,Galway ,Football,HR,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) Engineering Common Entry,312,625,3689,Galway ,Singing,Management,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Entrepreneurship,367,625,3489,Galway ,Chess,Support,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Event Management with Public Relations,389,625,2240,Galway ,Athletics ,Finance ,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Finance and Economics,541,625,2120,Galway ,Cricket,Law,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Forensic Science and Analysis,431,625,2240,Galway ,Football,IT,
ATU - Atlantic Technological University,Bachelor of Arts (Honours) Gastronomy Science and Food Innovation,520,625,2120,Galway ,Singing,IT,
ATU - Atlantic Technological University,Bachelor of Arts (Honours) Heritage Studies,462,625,5000,Galway ,Chess,HR,
ATU - Atlantic Technological University,Bachelor of Arts (Honours) International Hotel Management,300,625,4500,Galway ,Athletics ,Management,
ATU - Atlantic Technological University,Bachelor of Business (Honours) International Tourism Management,325,625,3500,Galway ,Cricket,Support,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) Manufacturing Engineering Design,378,625,6500,Galway ,Football,Finance ,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Marketing and Sales,256,625,7500,Galway ,Cricket,Law,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) Mechanical Engineering,215,625,6000,Galway ,Football,IT,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Medical Science,357,625,7000,Galway ,Singing,HR,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Physics and Instrumentation,450,625,8000,Galway ,Chess,Management,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Public Health Nutrition,433,625,8000,Galway ,Athletics ,Support,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Quantity Surveying and Construction Economics,244,625,3689,Galway ,Cricket,Finance ,
ATU - Atlantic Technological University,Bachelor of Business (Honours) Rural Enterprise and Agri-Business,267,625,3489,Galway ,Football,Law,
ATU - Atlantic Technological University,Bachelor of Engineering (Honours) Software and Electronic Engineering,235,625,2240,Galway ,Singing,IT,
ATU - Atlantic Technological University,Bachelor of Science (Honours) Sport and Exercise Science,278,625,2120,Galway ,Chess,IT,
ATU - Atlantic Technological University,Bachelor of Engineering Agricultural Engineering,279,625,5000,Galway ,Athletics ,HR,
ATU - Atlantic Technological University,Bachelor of Science Agriculture and Environmental Management,510,625,4500,Galway ,Cricket,Management,
ATU - Atlantic Technological University,Bachelor of Science Applied Biology and Biopharmaceutical Science,190,625,3500,Galway ,Football,Support,
ATU - Atlantic Technological University,Bachelor of Science Applied Freshwater and Marine Biology,278,625,3689,Galway ,Singing,Finance ,
ATU - Atlantic Technological University,Bachelor of Science Architectural Technology,345,625,3489,Galway ,Chess,Law,
ATU - Atlantic Technological University,Bachelor of Engineering BioMedical Engineering,241,625,2240,Galway ,Athletics ,IT,
ATU - Atlantic Technological University,Bachelor of Business Business,333,625,2120,Galway ,Cricket,HR,
ATU - Atlantic Technological University,Bachelor of Science Business Information Systems,222,625,2240,Galway ,Football,Management,
ATU - Atlantic Technological University,Bachelor of Science Chemical and  Pharmaceutical Science,111,625,2120,Galway ,Cricket,Support,
ATU - Atlantic Technological University,Bachelor of Engineering Civil Engineering,185,625,5000,Galway ,Football,Finance ,
ATU - Atlantic Technological University,Bachelor of Science Common Science (Undenominated),165,625,4500,Galway ,Singing,Law,
ATU - Atlantic Technological University,Bachelor of Science Computing and Digital Media,245,625,3500,Galway ,Chess,IT,
ATU - Atlantic Technological University,Bachelor of Science Computing in Software Development,267,625,6500,Galway ,Athletics ,IT,
ATU - Atlantic Technological University,Bachelor of Science Construction Management,298,625,7500,Galway ,Cricket,HR,
ATU - Atlantic Technological University,Bachelor of Arts Early Childhood Education and Care,431,625,6000,Galway ,Football,Management,
ATU - Atlantic Technological University,Bachelor of Engineering Energy Engineering,411,625,7000,Galway ,Singing,Support,
ATU - Atlantic Technological University,Bachelor of Engineering Engineering Common Entry,111,625,8000,Galway ,Chess,Finance ,
ATU - Atlantic Technological University,Bachelor of Business Entrepreneurship,185,625,8000,Galway ,Athletics ,Law,
ATU - Atlantic Technological University,Bachelor of Business Event Management with Public Relations,165,625,3689,Galway ,Cricket,IT,
ATU - Atlantic Technological University,Bachelor of Business Finance,245,625,3489,Galway ,Football,HR,
ATU - Atlantic Technological University,Bachelor of Arts Gastronomy Science and Food Innovation,267,625,2240,Galway ,Singing,Management,
ATU - Atlantic Technological University,Bachelor of Arts Heritage Studies,298,625,2120,Galway ,Chess,Support,
ATU - Atlantic Technological University,Bachelor of Business Hotel and Catering Management,431,625,5000,Galway ,Athletics ,Finance ,
ATU - Atlantic Technological University,Bachelor of Business International Tourism Management,411,625,4500,Galway ,Cricket,Law,
ATU - Atlantic Technological University,Bachelor of Engineering Manufacturing Engineering (Apprenticeship),111,625,3500,Galway ,Football,IT,
ATU - Atlantic Technological University,Bachelor of Engineering Manufacturing Engineering Design,185,625,3689,Galway ,Cricket,IT,
ATU - Atlantic Technological University,Bachelor of Business Marketing and Sales,165,625,3489,Galway ,Football,HR,
ATU - Atlantic Technological University,Bachelor of Engineering Mechanical Engineering,245,625,2240,Galway ,Singing,Management,
ATU - Atlantic Technological University,Bachelor of Science Physics and Instrumentation,267,625,2120,Galway ,Chess,Support,
ATU - Atlantic Technological University,Bachelor of Science Quantity Surveying and Construction Economics,298,625,2240,Galway ,Athletics ,Finance ,
ATU - Atlantic Technological University,Bachelor of Business Rural Enterprise and Agri-Business,431,625,2120,Galway ,Cricket,Law,
ATU - Atlantic Technological University,Bachelor of Engineering Software and Electronic Engineering,411,625,5000,Galway ,Football,IT,
ATU - Atlantic Technological University,Higher Certificate in Business Business,111,625,4500,Galway ,Singing,HR,
ATU - Atlantic Technological University,Higher Certificate in Business Business in Tourism,185,625,3500,Galway ,Chess,Management,
ATU - Atlantic Technological University,Higher Certificate in Arts Culinary Arts - Professional Chef Programme,165,625,6500,Galway ,Athletics ,Support,
ATU - Atlantic Technological University,Higher Certificate Event Operations with Public Relations,245,625,7500,Galway ,Cricket,Finance ,
ATU - Atlantic Technological University,Higher Certificate in Arts Heritage Studies,267,625,6000,Galway ,Football,Law,
Mayo Sligo Leitrim ETB,Adult Basic Education (48532),378,625,2240,Mayo,Cricket,IT,
Mayo Teagasc Training Centre - Ballinrobe,Adult Green Cert - Part-time (5M20454 6S20487),256,625,2120,Mayo,Football,HR,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Agriculture (5M20454),215,625,5000,Mayo,Singing,Management,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Agriculture - Advanced - Green Cert (6M20486),357,625,4500,Mayo,Chess,Support,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Agriculture - Green Cert (5M20454 6S20487),450,625,3500,Mayo,Athletics ,Finance ,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Animal Care (5M2768),520,625,3689,Mayo,Cricket,Law,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Animal Grooming (5N0752),462,625,3489,Mayo,Football,IT,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Animal Science - Advanced (6M5153),300,625,2240,Mayo,Cricket,HR,
Mayo College of FE & Training - Ballina Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Animation (5M5048),325,625,2120,Mayo,Football,Management,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Art (6M4029),378,625,2240,Mayo,Singing,Support,
St. Louis Community School,Art (114358),256,625,2120,Mayo,Chess,Finance ,
ATU - Mayo Campus and ATU - Atlantic Technological University,Art - Contemporary Art Practices (GA_ACOAG_B07),215,625,5000,Mayo,Athletics ,Law,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Art - Life Drawing (98497),111,625,4500,Mayo,Cricket,IT,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Astronomy (101421),185,625,3500,Mayo,Football,HR,
National Learning Network Mayo - Castlebar,Autism Support Programme - The Hub (110699),165,625,6500,Mayo,Cricket,Management,
Mayo Sligo Leitrim ETB,Back to Education Initiative BTEI (108635),245,625,7500,Mayo,Football,Support,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Beauty Therapy (6M3479),298,625,2240,Mayo,Chess,Law,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Beauty Therapy (5M3471),460,625,2120,Mayo,Athletics ,IT,
Mayo College of FE & Training - Westport Campus and Mayo Sligo Leitrim ETB,Beekeeping (5N2554),510,625,5000,Mayo,Cricket,HR,
St. Louis Community School,Bookkeeping Manual & Computerised (5N1354),566,625,4500,Mayo,Football,Management,
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Business - Advanced (6M4985),462,625,3489,Mayo,Singing,Law,
Mayo College of FE & Training - Castlebar Campus and Mayo Sligo Leitrim ETB and Mayo College of FE & Training,Business Studies Administration with Marketing (5M2102),186,625,2120,Mayo,Athletics ,HR,
