Logical_quotient_rating,i_get_stressed_out_easily,coding_skills_rating,public_speaking_points,i_am_always_prepared,i_follow_a_schedule,i_am_quick_to_understand_things,i_am_full_of_ideas,i_start_conversations,do_you_like_sports,entrepreneurial_mindset,tendency_to_worry,self_learning_capability,Extra_courses_did,Taken_inputs_from_seniors_or_elders,reading_and_writing_skills,memory_capability_score,hard_smart_worker,worked_in_teams_ever,Introvert,Suggested_Job_Role
8,7,1,6,4,8,0,8,2,yes,no,no,yes,no,no,excellent,poor,hard worker,no,no,Database Developer
9,6,5,7,6,2,6,2,2,no,yes,no,no,yes,no,poor,medium,smart worker,yes,no,Database Developer
8,2,2,3,8,7,3,7,3,no,no,yes,yes,yes,yes,poor,poor,smart worker,yes,yes,Database Developer
6,7,5,8,2,8,3,7,4,no,yes,yes,no,no,yes,poor,poor,smart worker,no,no,Database Developer
2,2,2,3,4,0,6,2,2,no,no,yes,no,yes,no,excellent,excellent,hard worker,no,no,Database Developer
5,9,5,2,0,7,4,7,8,no,no,yes,no,no,no,medium,excellent,smart worker,yes,no,Database Developer
8,2,4,1,5,6,2,0,3,no,no,no,no,yes,yes,medium,poor,smart worker,no,yes,Database Developer
0,3,2,6,1,2,5,3,9,yes,no,no,no,no,no,poor,excellent,hard worker,no,no,Database Developer
4,0,6,0,6,3,2,5,6,no,no,yes,yes,yes,no,poor,medium,smart worker,no,yes,Database Developer
5,9,9,0,6,2,0,9,7,no,yes,no,no,yes,yes,excellent,medium,smart worker,no,no,Database Developer
1,4,5,7,2,9,0,3,0,yes,no,no,no,yes,yes,excellent,poor,smart worker,no,no,Database Developer
7,0,1,2,9,3,7,3,0,no,yes,no,yes,no,no,excellent,medium,hard worker,no,yes,Database Developer
6,5,8,9,5,1,2,5,5,yes,no,yes,yes,no,yes,poor,poor,smart worker,yes,no,Database Developer
0,8,1,9,0,3,3,9,0,yes,no,no,no,no,yes,medium,poor,smart worker,no,yes,Database Developer
4,2,9,1,8,4,3,9,1,no,yes,no,yes,no,yes,poor,medium,smart worker,no,no,Database Developer
6,4,0,7,2,3,4,7,4,no,yes,yes,no,yes,no,excellent,medium,hard worker,yes,yes,Database Developer
6,0,1,3,3,4,6,3,4,yes,no,yes,no,yes,yes,poor,excellent,smart worker,yes,no,Database Developer
4,7,9,1,9,9,4,5,3,no,no,yes,yes,yes,no,poor,excellent,hard worker,no,no,Database Developer
4,2,3,6,3,8,4,6,6,yes,yes,no,yes,yes,no,excellent,medium,hard worker,no,no,Database Developer
2,5,4,3,0,4,5,0,0,no,no,no,no,yes,yes,medium,poor,hard worker,no,yes,Database Developer
5,1,7,3,3,6,9,3,8,yes,no,no,yes,no,yes,excellent,excellent,smart worker,yes,no,Database Developer
2,3,5,5,0,9,4,9,6,no,no,yes,yes,yes,no,poor,poor,hard worker,no,yes,Database Developer
7,3,5,6,3,1,5,3,5,no,yes,no,no,yes,no,excellent,poor,smart worker,yes,yes,Database Developer
0,9,7,2,9,4,5,7,9,no,yes,no,no,yes,no,medium,medium,hard worker,yes,yes,Database Developer
9,2,0,8,3,8,4,6,1,yes,no,yes,no,yes,yes,medium,excellent,smart worker,no,yes,Database Developer
3,2,4,9,7,1,5,6,7,yes,yes,yes,no,yes,no,poor,medium,smart worker,yes,yes,Database Developer
2,6,1,1,7,6,8,8,6,no,no,no,yes,yes,yes,excellent,excellent,hard worker,yes,no,Database Developer
8,6,9,9,8,2,1,3,0,yes,yes,yes,yes,yes,no,medium,medium,smart worker,yes,yes,Database Developer
0,4,5,6,7,2,5,6,1,yes,yes,no,no,no,no,excellent,medium,hard worker,no,no,Database Developer
2,3,7,6,1,2,3,6,1,no,no,yes,no,yes,yes,medium,medium,hard worker,yes,no,Database Developer
4,6,0,1,3,7,0,9,0,no,yes,no,yes,yes,no,medium,medium,hard worker,yes,no,Database Developer
4,4,9,6,1,1,6,2,8,no,no,yes,yes,yes,no,medium,medium,smart worker,no,yes,Database Developer
3,0,2,0,3,9,8,7,2,no,yes,no,no,no,yes,medium,excellent,smart worker,no,no,Database Developer
3,7,0,8,8,9,9,5,7,no,no,yes,yes,yes,no,medium,poor,hard worker,no,no,Database Developer
8,5,6,7,5,3,1,6,0,no,yes,yes,no,no,no,medium,poor,hard worker,no,yes,Database Developer
7,9,9,4,4,6,8,8,5,yes,yes,no,yes,no,no,excellent,medium,smart worker,yes,yes,Database Developer
0,1,1,0,9,4,1,4,3,no,no,yes,no,yes,no,excellent,excellent,smart worker,no,yes,Database Developer
7,3,1,7,5,8,6,0,6,no,yes,no,no,no,yes,excellent,excellent,hard worker,yes,yes,Database Developer
9,9,4,0,0,5,7,8,1,yes,no,no,no,no,yes,excellent,poor,hard worker,no,no,Database Developer
0,2,2,1,8,2,3,2,2,no,no,yes,yes,yes,yes,excellent,medium,hard worker,no,yes,Database Developer
7,3,5,9,8,8,9,7,8,yes,yes,yes,no,yes,no,excellent,excellent,hard worker,no,yes,Database Developer
7,5,3,1,4,9,2,5,9,yes,no,no,yes,no,no,poor,medium,smart worker,no,no,Database Developer
4,8,1,5,0,0,5,8,2,yes,no,no,no,no,yes,poor,poor,smart worker,no,yes,Database Developer
6,9,8,9,7,0,0,2,1,no,no,no,yes,no,no,medium,poor,smart worker,no,no,Database Developer
5,0,3,1,0,8,2,9,7,no,no,yes,yes,no,yes,poor,excellent,hard worker,no,yes,Database Developer
7,3,0,3,6,0,1,0,8,no,no,no,no,yes,no,poor,medium,smart worker,yes,no,Database Developer
0,1,1,3,1,0,4,3,4,no,yes,no,no,yes,yes,poor,excellent,smart worker,no,no,Database Developer
9,9,8,6,2,9,7,5,4,no,no,yes,no,no,yes,excellent,excellent,hard worker,yes,yes,Database Developer
0,3,2,0,4,1,6,3,1,no,no,yes,no,yes,no,excellent,poor,hard worker,yes,yes,Database Developer
6,4,7,1,6,5,7,3,8,no,yes,no,yes,yes,yes,poor,medium,smart worker,no,yes,Database Developer
4,7,2,3,0,1,7,7,0,yes,yes,yes,no,yes,no,excellent,excellent,hard worker,yes,no,Database Developer
5,1,2,3,9,7,1,2,9,yes,no,no,yes,yes,no,medium,excellent,smart worker,no,no,Database Developer
9,5,4,2,5,7,3,3,7,yes,no,no,no,no,yes,medium,poor,smart worker,no,no,Database Developer
1,7,9,9,1,2,9,5,1,no,yes,no,no,no,no,poor,excellent,smart worker,yes,yes,Database Developer
6,4,0,4,9,4,3,8,6,yes,yes,yes,no,no,yes,poor,excellent,smart worker,no,yes,Database Developer
6,4,2,7,9,1,8,4,9,yes,yes,no,no,yes,yes,poor,poor,hard worker,yes,yes,Database Developer
9,5,1,8,1,3,7,1,9,yes,no,no,no,no,yes,poor,poor,hard worker,no,no,Database Developer
0,5,1,0,6,1,0,0,5,yes,yes,no,yes,yes,no,medium,medium,hard worker,yes,yes,Database Developer
5,9,0,0,2,7,6,2,3,yes,no,no,no,no,no,medium,medium,smart worker,no,yes,Database Developer
5,8,8,8,4,1,9,5,5,no,yes,yes,yes,yes,yes,excellent,excellent,smart worker,yes,no,Database Developer
8,0,6,7,8,5,9,8,9,yes,no,yes,yes,yes,yes,excellent,medium,hard worker,no,yes,Database Developer
2,3,7,3,7,3,4,6,9,no,no,no,yes,no,yes,medium,excellent,smart worker,no,no,Database Developer
3,6,8,6,6,0,5,7,1,yes,yes,no,yes,yes,yes,excellent,poor,hard worker,no,no,Database Developer
3,4,1,2,0,8,9,1,5,no,no,no,no,yes,no,poor,medium,hard worker,no,yes,Database Developer
5,8,4,2,2,1,5,0,2,yes,no,no,no,yes,no,medium,medium,hard worker,no,no,Database Developer
7,1,8,0,0,1,3,4,5,no,no,yes,yes,no,yes,poor,excellent,hard worker,yes,yes,Database Developer
5,3,1,1,9,9,7,9,2,yes,no,yes,no,yes,no,medium,medium,smart worker,no,yes,Database Developer
7,2,4,9,7,3,0,1,2,no,no,no,yes,no,yes,poor,poor,smart worker,yes,yes,Database Developer
1,3,6,4,5,0,6,7,9,yes,no,no,no,no,no,poor,poor,hard worker,no,no,Database Developer
7,3,5,5,9,6,3,8,2,yes,no,yes,yes,no,no,poor,medium,smart worker,no,no,Database Developer
1,7,3,4,1,4,6,1,4,yes,no,yes,no,yes,no,excellent,medium,hard worker,yes,no,Database Developer
8,0,1,9,9,1,8,9,7,yes,yes,yes,no,yes,yes,medium,excellent,hard worker,yes,yes,Database Developer
3,8,5,2,1,7,7,6,1,no,yes,no,yes,no,yes,excellent,excellent,smart worker,yes,yes,Database Developer
1,3,4,1,9,6,5,1,6,no,no,no,yes,yes,no,medium,poor,smart worker,yes,no,Database Developer
6,0,1,0,2,8,2,2,8,no,yes,no,no,yes,no,poor,excellent,smart worker,no,yes,Database Developer
1,0,2,1,5,5,5,9,3,no,no,no,yes,no,yes,medium,poor,hard worker,yes,yes,Database Developer
2,4,1,8,4,0,9,2,9,yes,no,no,yes,yes,yes,excellent,poor,hard worker,no,no,Database Developer
3,0,6,9,2,1,2,6,7,no,no,no,yes,yes,yes,medium,poor,smart worker,yes,no,Database Developer
3,3,2,6,7,7,9,9,6,no,no,no,yes,no,yes,poor,poor,smart worker,no,no,Database Developer
0,6,3,6,8,8,6,5,6,no,yes,no,yes,yes,yes,poor,poor,hard worker,no,yes,Database Developer
6,4,3,0,1,0,9,3,9,yes,no,yes,no,no,yes,poor,poor,smart worker,yes,no,Database Developer
4,7,9,0,4,2,4,6,2,no,no,no,yes,yes,yes,poor,excellent,hard worker,no,yes,Database Developer
8,4,2,6,0,1,4,6,6,yes,no,yes,yes,no,no,poor,excellent,hard worker,no,no,Database Developer
5,2,8,7,4,0,7,0,7,no,yes,yes,no,yes,no,medium,medium,hard worker,yes,yes,Database Developer
1,8,7,7,7,8,1,1,8,yes,yes,no,no,no,no,medium,poor,hard worker,no,no,Human Resources
3,5,2,2,5,7,3,6,7,no,yes,no,no,no,no,poor,poor,smart worker,no,no,Human Resources
2,9,3,9,5,1,4,3,5,no,yes,no,no,yes,no,medium,excellent,hard worker,yes,yes,Human Resources
5,8,7,3,3,7,3,3,0,yes,yes,yes,no,no,no,medium,medium,hard worker,yes,yes,Human Resources
0,6,6,6,5,9,6,9,2,no,no,yes,no,no,no,excellent,medium,hard worker,no,yes,Human Resources
5,7,1,0,0,7,7,7,0,yes,no,no,no,no,no,medium,excellent,hard worker,yes,yes,Human Resources
5,8,7,3,6,2,4,0,5,yes,no,yes,yes,yes,yes,excellent,excellent,hard worker,no,yes,Human Resources
6,3,5,7,1,9,5,8,7,yes,no,no,yes,no,yes,medium,poor,smart worker,no,no,Human Resources
2,2,9,5,7,9,4,1,6,no,yes,no,no,no,no,medium,poor,hard worker,yes,no,Human Resources
2,7,7,4,2,7,7,0,8,yes,no,yes,no,yes,no,medium,excellent,smart worker,no,yes,Human Resources
4,1,6,9,8,7,1,4,4,yes,no,yes,yes,yes,yes,poor,excellent,hard worker,no,no,Human Resources
3,6,5,4,1,8,6,8,9,yes,no,no,no,no,yes,excellent,poor,hard worker,no,no,Human Resources
1,4,8,5,8,3,1,2,6,yes,no,yes,no,yes,no,excellent,excellent,hard worker,yes,yes,Human Resources
6,4,5,4,4,7,3,0,1,yes,no,no,no,no,no,excellent,excellent,hard worker,yes,no,Human Resources
4,3,8,2,6,9,5,2,9,no,yes,yes,yes,no,no,poor,poor,hard worker,yes,no,Human Resources
6,1,9,7,9,4,2,7,1,yes,yes,no,no,no,no,medium,medium,hard worker,no,no,Human Resources
2,0,6,7,8,8,7,5,1,yes,no,no,no,yes,yes,excellent,excellent,smart worker,no,yes,Human Resources
4,4,9,1,3,2,0,1,9,yes,no,yes,yes,yes,yes,poor,poor,hard worker,yes,no,Human Resources
1,6,5,0,3,2,1,7,7,no,no,no,no,no,no,excellent,excellent,hard worker,yes,no,Human Resources
2,3,7,8,0,3,5,4,9,no,yes,yes,yes,no,yes,excellent,medium,smart worker,yes,no,Human Resources
5,1,8,4,9,6,9,3,1,yes,no,no,no,yes,no,medium,poor,hard worker,yes,no,Human Resources
1,2,8,3,2,5,5,4,2,no,yes,no,no,yes,no,excellent,excellent,hard worker,yes,yes,Human Resources
7,3,5,6,9,5,6,9,3,yes,no,no,no,yes,yes,poor,medium,hard worker,yes,no,Human Resources
7,4,7,4,9,9,2,3,2,yes,no,no,no,yes,no,excellent,medium,smart worker,yes,yes,Human Resources
4,4,9,4,4,0,3,1,9,no,no,no,yes,yes,yes,medium,medium,hard worker,yes,no,Human Resources
3,1,4,2,5,0,8,7,4,yes,yes,no,yes,yes,no,poor,poor,smart worker,no,yes,Human Resources
0,5,5,9,3,2,9,8,7,no,yes,yes,yes,yes,yes,poor,medium,hard worker,yes,yes,Human Resources
2,4,5,9,6,3,5,9,0,no,yes,yes,yes,no,no,excellent,poor,hard worker,no,yes,Human Resources
2,7,0,4,8,0,9,1,7,yes,no,no,no,yes,yes,medium,medium,hard worker,yes,no,Human Resources
8,1,7,2,1,8,7,7,9,yes,no,no,no,no,no,excellent,excellent,hard worker,yes,no,Human Resources
3,5,9,4,2,9,9,5,0,yes,yes,no,yes,yes,no,poor,medium,hard worker,no,yes,Human Resources
3,4,3,9,4,7,1,8,6,yes,yes,yes,yes,no,yes,medium,poor,smart worker,yes,no,Human Resources
0,2,7,9,7,2,2,9,6,no,yes,no,no,no,no,medium,poor,hard worker,yes,yes,Human Resources
1,6,8,4,2,2,4,6,6,no,no,no,yes,yes,yes,medium,poor,hard worker,yes,no,Human Resources
8,9,9,3,6,8,4,5,4,no,no,no,yes,no,no,excellent,excellent,hard worker,yes,yes,Human Resources
1,3,2,6,3,5,3,3,3,yes,no,yes,no,yes,no,medium,poor,hard worker,yes,yes,Human Resources
2,4,1,5,4,1,2,1,9,no,yes,yes,yes,no,yes,excellent,medium,hard worker,yes,yes,Human Resources
2,6,1,0,1,4,1,4,5,no,no,no,yes,yes,yes,poor,excellent,smart worker,yes,no,Human Resources
6,9,9,7,9,3,5,6,6,yes,yes,yes,yes,no,yes,medium,excellent,smart worker,no,yes,Human Resources
9,3,3,7,3,1,3,4,3,yes,yes,no,no,no,yes,excellent,excellent,hard worker,yes,yes,Human Resources
1,1,3,6,9,9,8,4,7,no,yes,no,yes,no,yes,excellent,medium,smart worker,no,yes,Human Resources
8,2,1,0,4,1,8,0,0,no,yes,no,no,yes,no,excellent,poor,smart worker,no,no,Human Resources
9,3,0,0,3,7,3,3,7,yes,no,yes,yes,yes,yes,excellent,medium,smart worker,yes,yes,Human Resources
0,9,7,0,9,3,1,5,1,yes,yes,yes,no,yes,yes,poor,poor,hard worker,yes,yes,Human Resources
3,2,3,2,3,5,2,3,8,yes,yes,yes,no,yes,yes,medium,medium,smart worker,yes,no,Human Resources
5,8,3,8,6,5,8,8,8,yes,no,yes,yes,yes,no,excellent,poor,smart worker,yes,no,Human Resources
8,8,8,9,6,7,7,6,9,yes,yes,yes,yes,no,no,poor,excellent,hard worker,no,no,Human Resources
6,8,2,3,7,8,0,8,6,no,no,no,yes,yes,no,excellent,excellent,hard worker,yes,no,Human Resources
1,4,3,9,1,0,3,8,0,no,yes,no,no,no,no,excellent,poor,hard worker,yes,no,Human Resources
8,4,9,6,6,9,3,2,8,yes,no,yes,yes,yes,no,poor,medium,smart worker,no,no,Human Resources
7,9,2,2,1,8,5,6,6,no,yes,no,yes,no,yes,medium,excellent,hard worker,no,no,Human Resources
2,9,1,1,2,3,0,8,7,no,no,yes,yes,yes,no,poor,poor,hard worker,no,no,Human Resources
1,8,8,4,3,9,8,7,0,yes,no,yes,yes,no,yes,excellent,excellent,hard worker,yes,no,Human Resources
1,5,6,0,0,3,7,3,4,yes,yes,yes,yes,yes,no,poor,poor,hard worker,no,yes,Human Resources
3,6,3,3,4,4,9,2,2,no,no,yes,no,no,no,excellent,poor,smart worker,no,no,Human Resources
2,7,1,6,4,2,3,3,9,yes,no,yes,no,no,no,poor,excellent,hard worker,no,no,Human Resources
3,9,6,4,9,1,0,3,6,yes,yes,no,no,no,yes,poor,medium,hard worker,no,yes,Human Resources
4,6,0,3,3,3,7,9,2,no,yes,yes,no,no,yes,excellent,excellent,smart worker,yes,yes,Human Resources
9,2,6,6,5,9,6,5,0,yes,no,yes,yes,no,no,poor,medium,smart worker,no,no,Human Resources
3,4,1,2,5,9,1,6,0,no,no,yes,yes,no,yes,medium,excellent,hard worker,yes,yes,Human Resources
6,5,1,0,2,1,9,2,1,yes,no,yes,no,yes,yes,excellent,medium,smart worker,no,yes,Human Resources
2,4,3,1,8,8,5,8,5,yes,no,no,yes,no,no,poor,medium,smart worker,no,no,Human Resources
3,4,0,3,2,1,9,4,8,no,yes,yes,no,no,no,excellent,poor,hard worker,no,no,Human Resources
2,3,8,0,0,7,4,1,3,no,yes,no,no,no,yes,poor,excellent,smart worker,no,no,Human Resources
9,5,1,1,8,7,0,1,0,no,yes,yes,no,yes,yes,medium,medium,hard worker,yes,yes,Human Resources
5,2,3,8,2,4,0,8,9,no,yes,yes,yes,no,no,medium,medium,hard worker,yes,yes,Human Resources
7,7,2,7,7,9,7,9,6,no,no,yes,yes,yes,no,excellent,poor,smart worker,no,yes,Human Resources
9,2,9,5,9,6,9,3,0,no,yes,yes,yes,yes,no,excellent,poor,smart worker,no,yes,Human Resources
4,5,8,1,5,5,2,2,5,yes,yes,no,yes,yes,yes,poor,medium,hard worker,no,yes,Human Resources
2,7,2,3,7,3,0,4,3,no,no,no,no,no,yes,poor,excellent,hard worker,no,yes,Human Resources
7,0,2,6,1,5,1,6,5,no,no,no,yes,yes,yes,poor,medium,hard worker,yes,no,Human Resources
6,8,3,6,4,5,2,0,5,yes,no,yes,no,yes,no,excellent,poor,smart worker,yes,no,Human Resources
7,1,3,4,7,2,1,9,3,no,no,no,yes,no,no,poor,medium,hard worker,no,yes,Human Resources
3,6,2,9,2,4,4,1,2,no,no,yes,no,no,no,excellent,medium,hard worker,yes,yes,Human Resources
0,9,7,4,7,6,3,7,2,yes,no,no,yes,no,yes,poor,poor,hard worker,no,yes,Human Resources
1,8,2,9,8,5,1,8,4,no,no,no,no,yes,yes,medium,poor,smart worker,no,no,Human Resources
3,0,6,8,0,1,4,3,6,no,no,no,no,no,yes,excellent,poor,hard worker,no,yes,Human Resources
5,6,0,4,2,6,2,6,2,no,yes,no,no,no,no,medium,poor,smart worker,yes,yes,Human Resources
8,7,4,0,4,5,0,8,8,no,yes,no,yes,yes,no,excellent,medium,smart worker,no,yes,Human Resources
8,8,4,4,1,6,1,6,2,yes,no,no,yes,yes,no,medium,excellent,hard worker,yes,yes,Human Resources
7,3,7,2,1,6,6,7,6,no,no,yes,no,no,no,medium,medium,smart worker,no,no,Human Resources
6,1,2,5,5,9,3,0,1,no,yes,yes,yes,no,yes,medium,poor,hard worker,yes,yes,Human Resources
5,5,5,6,6,3,9,4,2,no,no,yes,yes,no,yes,medium,excellent,smart worker,no,no,Human Resources
1,8,0,0,4,5,4,5,4,no,yes,no,yes,yes,no,poor,excellent,hard worker,yes,yes,Human Resources
0,0,4,9,3,1,6,4,6,yes,no,no,no,no,yes,medium,excellent,smart worker,yes,yes,Human Resources
7,5,3,7,0,8,3,7,1,yes,yes,yes,no,no,no,medium,medium,hard worker,no,yes,Human Resources
6,5,0,0,3,8,7,6,9,yes,no,yes,yes,no,yes,medium,medium,hard worker,yes,yes,Human Resources
1,7,5,9,7,0,4,2,3,no,no,no,no,yes,yes,poor,excellent,hard worker,no,yes,Human Resources
6,6,1,0,9,6,9,0,5,yes,no,yes,yes,no,no,medium,medium,hard worker,no,yes,Human Resources
8,5,3,5,4,7,4,6,3,yes,yes,yes,yes,no,no,medium,excellent,smart worker,no,no,Human Resources
4,6,8,8,1,5,6,4,7,no,no,no,no,yes,no,poor,medium,smart worker,no,no,Human Resources
8,4,1,9,9,8,4,4,2,no,no,no,no,yes,no,medium,excellent,smart worker,no,yes,Human Resources
2,4,3,6,9,1,3,1,5,yes,yes,yes,yes,yes,yes,poor,medium,hard worker,no,yes,Human Resources
6,2,7,2,4,2,2,9,0,no,yes,no,yes,yes,no,excellent,poor,smart worker,yes,yes,Human Resources
9,6,1,8,4,0,6,5,8,yes,no,yes,no,no,yes,poor,medium,hard worker,yes,yes,Human Resources
0,2,2,6,9,8,1,8,2,yes,yes,no,no,yes,no,excellent,poor,smart worker,yes,yes,Human Resources
3,8,1,1,9,6,6,4,6,no,no,no,yes,yes,yes,poor,medium,smart worker,yes,no,Human Resources
2,7,4,8,7,6,3,7,8,yes,yes,no,no,yes,no,excellent,excellent,smart worker,yes,no,Human Resources
5,0,5,4,0,4,5,0,6,yes,yes,yes,no,yes,no,poor,poor,smart worker,no,no,Human Resources
4,5,4,0,8,3,4,6,5,no,no,no,no,no,yes,medium,excellent,smart worker,yes,yes,Human Resources
7,8,4,4,1,6,2,1,6,no,no,yes,yes,no,no,excellent,excellent,smart worker,yes,yes,Human Resources
3,3,8,4,0,4,4,4,1,yes,yes,no,yes,yes,yes,excellent,poor,hard worker,yes,no,Human Resources
6,9,6,0,8,5,2,0,3,yes,yes,yes,no,yes,yes,poor,poor,smart worker,no,yes,Human Resources
9,6,2,0,2,8,9,3,5,yes,no,yes,no,no,yes,medium,medium,smart worker,no,yes,Human Resources
9,6,5,3,9,0,2,1,9,yes,no,yes,no,yes,no,medium,medium,hard worker,no,yes,Human Resources
7,3,1,6,1,7,9,4,3,no,yes,yes,yes,yes,no,medium,excellent,smart worker,yes,yes,Human Resources
5,8,8,9,0,2,8,7,3,yes,yes,yes,yes,no,yes,poor,medium,smart worker,yes,no,Human Resources
3,0,9,4,3,0,9,0,7,yes,yes,yes,no,no,yes,excellent,poor,hard worker,yes,no,Human Resources
4,0,2,8,9,2,1,2,4,yes,no,yes,no,no,no,medium,medium,smart worker,yes,yes,Human Resources
1,2,5,6,8,7,9,1,3,no,no,no,no,no,no,excellent,excellent,smart worker,yes,yes,Human Resources
2,2,7,6,9,8,1,6,3,no,no,yes,no,no,no,medium,poor,hard worker,no,yes,Human Resources
9,0,0,8,4,8,4,1,4,no,no,yes,yes,no,yes,poor,excellent,smart worker,no,yes,Human Resources
4,8,2,9,5,3,5,8,7,yes,yes,yes,yes,yes,no,poor,medium,hard worker,yes,yes,Human Resources
3,9,0,9,4,4,8,2,2,yes,yes,yes,yes,yes,yes,excellent,poor,smart worker,yes,no,Human Resources
5,3,1,4,3,6,7,0,6,no,no,no,yes,yes,no,excellent,excellent,smart worker,yes,no,Human Resources
6,4,5,7,7,9,9,6,9,no,no,yes,no,no,no,medium,poor,smart worker,no,no,Human Resources
5,9,9,1,9,3,8,4,3,yes,yes,no,no,yes,yes,excellent,medium,hard worker,no,no,Human Resources
7,6,2,7,5,1,4,1,9,no,no,yes,no,no,no,poor,medium,smart worker,no,no,Human Resources
0,4,4,8,1,4,9,2,2,no,no,yes,no,no,yes,excellent,poor,smart worker,yes,yes,Human Resources
9,8,7,0,9,1,0,9,8,no,yes,no,yes,yes,yes,poor,medium,smart worker,no,yes,Human Resources
7,1,6,1,3,6,0,9,8,yes,no,yes,no,yes,yes,poor,medium,hard worker,no,no,Human Resources
2,1,2,5,2,8,5,7,4,yes,yes,no,yes,yes,no,excellent,medium,hard worker,yes,no,Human Resources
0,0,0,9,9,4,6,2,8,yes,yes,no,no,no,yes,medium,medium,hard worker,yes,no,Human Resources
8,5,7,4,0,1,3,4,2,no,no,yes,yes,yes,yes,excellent,excellent,smart worker,no,yes,Human Resources
6,4,9,4,5,7,4,1,9,no,no,no,yes,yes,yes,poor,poor,hard worker,yes,no,Human Resources
2,8,6,2,0,5,4,9,4,yes,no,no,no,no,no,poor,poor,smart worker,yes,no,Human Resources
3,3,7,8,1,3,1,6,0,no,no,yes,yes,no,no,medium,excellent,hard worker,no,no,Human Resources
1,3,5,0,8,3,0,7,5,no,no,yes,yes,yes,yes,medium,excellent,hard worker,no,yes,Human Resources
8,2,0,9,3,4,2,0,0,no,no,yes,no,no,yes,excellent,medium,hard worker,no,yes,Human Resources
7,3,6,6,3,5,5,7,0,no,no,yes,no,no,yes,excellent,poor,hard worker,yes,yes,Human Resources
4,2,7,6,6,4,1,3,6,yes,yes,no,no,no,yes,medium,medium,hard worker,no,no,Human Resources
0,8,7,4,5,2,6,6,4,no,no,yes,yes,no,yes,excellent,excellent,hard worker,yes,no,Human Resources
8,0,4,6,4,8,0,4,0,no,yes,yes,yes,no,yes,excellent,poor,hard worker,yes,yes,Human Resources
3,1,3,6,2,3,0,7,3,no,no,no,yes,yes,no,medium,poor,smart worker,no,no,Human Resources
9,2,2,8,6,6,3,3,1,no,no,no,no,yes,no,excellent,medium,smart worker,no,yes,Human Resources
6,9,0,5,0,1,3,6,9,no,no,yes,no,yes,no,excellent,poor,hard worker,yes,no,Human Resources
4,5,8,6,1,6,8,3,5,no,no,no,yes,yes,no,medium,medium,hard worker,no,no,Human Resources
3,0,9,2,5,0,3,9,4,no,no,no,no,no,no,excellent,medium,smart worker,yes,no,Human Resources
3,0,0,8,7,1,9,4,6,yes,yes,no,no,no,no,poor,medium,hard worker,no,no,Human Resources
8,9,9,7,4,8,7,4,1,yes,yes,no,no,yes,no,medium,medium,hard worker,yes,yes,Human Resources
5,7,3,3,0,9,0,6,4,yes,no,yes,no,no,yes,poor,excellent,smart worker,no,yes,Human Resources
6,8,1,8,0,0,0,5,8,yes,no,no,no,yes,yes,excellent,medium,smart worker,yes,yes,Human Resources
1,6,0,6,0,6,1,6,7,yes,yes,no,no,yes,yes,poor,poor,hard worker,yes,yes,Human Resources
8,4,8,3,5,5,1,7,9,no,yes,yes,yes,yes,yes,medium,medium,hard worker,no,no,Human Resources
7,5,8,9,5,2,1,4,4,yes,yes,no,yes,yes,no,poor,medium,smart worker,no,no,Human Resources
6,9,9,0,2,3,9,9,8,no,no,no,yes,no,no,excellent,medium,smart worker,yes,yes,Human Resources
6,9,5,4,9,3,9,6,3,yes,no,no,no,no,no,excellent,poor,hard worker,yes,no,Human Resources
4,8,6,8,3,1,9,6,0,no,no,yes,yes,no,yes,poor,excellent,smart worker,no,yes,Human Resources
5,0,4,5,9,6,5,7,6,no,yes,no,no,no,no,excellent,medium,smart worker,yes,no,Human Resources
0,2,8,5,6,6,3,0,7,yes,no,yes,yes,yes,no,medium,medium,hard worker,no,yes,Human Resources
8,9,1,5,7,5,9,4,7,no,no,yes,yes,no,yes,poor,excellent,hard worker,yes,no,Human Resources
2,7,2,7,7,4,8,1,2,yes,no,no,yes,no,no,excellent,poor,smart worker,no,no,Human Resources
1,6,0,8,5,8,0,0,8,yes,no,yes,no,no,yes,poor,medium,hard worker,yes,yes,Human Resources
7,7,8,5,8,5,9,9,2,yes,no,yes,yes,yes,yes,poor,poor,hard worker,yes,no,Human Resources
5,4,8,6,6,3,0,3,1,yes,no,yes,no,yes,no,medium,poor,smart worker,no,yes,Human Resources
7,6,0,6,8,3,2,1,4,no,yes,yes,no,no,no,excellent,medium,smart worker,yes,no,Human Resources
4,2,5,4,1,5,7,4,3,yes,yes,yes,yes,no,no,excellent,excellent,smart worker,yes,yes,Human Resources
8,2,2,6,7,0,3,8,8,no,yes,yes,yes,yes,yes,excellent,excellent,smart worker,yes,no,Human Resources
1,9,9,9,7,3,9,8,4,no,no,no,no,no,yes,medium,excellent,hard worker,no,yes,Human Resources
0,0,0,1,1,0,5,6,4,no,no,no,yes,no,yes,poor,poor,smart worker,no,yes,Human Resources
7,8,2,5,3,9,3,3,5,yes,no,no,yes,no,yes,excellent,medium,smart worker,yes,yes,Human Resources
2,4,2,6,1,3,4,2,2,no,yes,no,no,no,no,excellent,medium,smart worker,yes,yes,Human Resources
1,4,4,5,5,8,3,3,6,no,yes,no,no,yes,yes,excellent,poor,smart worker,no,yes,Human Resources
3,0,8,7,0,4,3,9,8,no,no,no,no,yes,yes,excellent,medium,smart worker,yes,yes,Human Resources
